,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
1900,Sweden,2002,1953/4007(L)/4008(L),4007(L),35274,Commune Council Development
1901,Sweden,2002,1953/4007(L)/4008(L),4008(L),35274,Commune Council Development
1903,Sweden,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
1905,Sweden,2004,2076/4314(L),4314(L),37115,Health Care in the Central Highlands
1907,Sweden,2005,1953/4007(L)/4008(L),4007(L),35274,Commune Council Development (Supplementary)
1908,Sweden,2005,1953/4007(L)/4008(L),4008(L),35274,Commune Council Development (Supplementary)
1949,Switzerland,2008,1881/3899(L),3899(L),31309,Post-Literacy and Continuing Education (Supplementary)
1953,Switzerland,2009,1881/3899(L),3899(L),31309,Post-Literacy and Continuing Education (Supplementary) 2
1961,Thailand,1999,1727-1728,1727-1728,,GMS
1963,TRACECA,2000,1774-1775,1774-1775,,Almaty-Bishkek Regional Road Rehabilitation (KAZ and KGZ Components)
1966,UAE,1973,0171-0172,0171-0172,40641,Multan Fertilizer
1973,UFPF-UEIF,2012,2931/G0313-0314,G0313-0314,43319-022,Greater Mekong Subregion East-West Economic Corridor Towns Development
1986,UN Habitat,ERROR, Incorrect data type for operator or @Function, Time/Date expected,2046,2046
2074,UNICEF,2011,G0272/0289,G0272,35174-082,School Sector Program
2088,U.K.,1976,0279-0280,0279-0280,,Port Qasim
2120,U.K.,2001,1876/3785(L),3785(L),29472,Road Network Development
2122,U.K.,2001,1883/3800(L),3800(L),33301,Central Region Livelihood Improvement
2124,U.K.,2002,1881/3899(L),3899(L),31309,Post-Literacy and Continuing Education
2126,U.K.,2002,1940/G3994,G3994,32430,Health Sector Support
2128,U.K.,2002,1940/G3994,G3994,32430,Health Sector Support
2130,U.K.,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
2134,U.K.,2004,2144/2145/4505(L),4505(L),32264,Punjab Devolved Social Services Program
2154,U.K.,2008,1940/G3994,G3994,32430,Health Sector Support (Supplementary)
2165,U.K.,2011,G0272/0289,G0272,35174-082,School Sector Program
2167,U.K.,2012,0305-0306/0368,0305-0306,36172-063,Strengthening Public Management Program
2191,U.S.A.,1998,1663-1665,1663-1665,,Metro Manila Air Quality Improvement Sector Dev. Program
2211,WHO,2005,0025-0027,0025-0027,,GMS
2219,World Bank,1973,0171-0172,0171-0172,40641,Multan Fertilizer
2298,World Bank,1998,1606-1607,1606-1607,,Early Childhood Development
2300,World Bank,1999,1727-1728,1727-1728,,GMS
2306,World Bank,2002,1940/G3994,G3994,32430,Health Sector Support
2309,World Bank,2003,2015/4209(L),4209(L),30216,Second Primary Education Development Program (Sector Loan)
2338,World Bank,2010,2701-2702,2701-2702,35049,Padma Multipurpose Bridge
2344,World Bank,2011,G0256,G0256,44170,Tonga-Fiji Submarine Cable
2345,World Bank,2011,G0272/0289,G0272,35174-082,School Sector Program
