Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
0,0,0,38,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,France,2002,2002,,1903,35496,,,UZB,Western Uzbekistan Rural Water Supply,CWRD,URM,05/02/2002,38,0,0,,38,,,,,,,,,,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
France,France,2002,2002,,1903,35496,,,UZB,Western Uzbekistan Rural Water Supply,CWRD,URM,05/02/2002,,,,,0,,2,,2,Non-DVA,,,Bilateral,Loan,OCR,3800,Water and Other Municipal Infrastructure and Services,,,,,,,,05/02/2002,,,,,Sovereign,,,,Desalination plants component.  Still to be confirmed by the French Govt.,
50,0,0,50,0,19,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,France,2002,2002,,1932,,,,VIE,Second Financial Sector Program (Subprogram I),SERD,SEGF,11/20/2002,0,50,0,,50,,,,,,,,,,ADF,3300,Finance,,,,,Private Sector Development,,,,,,,,,,,,,
AFD,France,2002,2002,,1932,,,,VIE,Second Financial Sector Program (Subprogram I),SERD,SEGF,11/20/2002,,,,,0,,19,,19,Non-DVA,,,Bilateral,Loan,ADF,3300,Finance,,,,,,,,11/20/2002,,,,,Sovereign,,,,Adj. in Dec04.  Formerly listed as $34.5  to $19.0     .  $34.5 less 15.5 =  19.0 for 2002,
15,0,0,15,3.8,0,0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,France,2002,2002,,1933,33356,,,LAO,Nam Ngum River Basin Development Sector,SERD,SEAE,11/11/2002,0,15,0,,15,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
AFD,France,2002,2002,,1933,33356,,,LAO,Nam Ngum River Basin Development Sector,SERD,SEAE,11/11/2002,,,,,0,3.8,,,3.8,Non-DVA,,,Bilateral,Grant,ADF,3000,Agriculture and Natural Resources,,,,,,,,11/11/2002,,,,,Sovereign,,,,"R219-02, 31-Oct-02.  Capacity building ﾀ 3.8 m.  To be approved early 2003.",
0,0,0,250,0,38,0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,France,2003,2003,,2014,32336,,,PRC,Western Yunnan Roads Development (Baoshan-Longling),EARD,EATC,10/28/2003,250,0,0,,250,,,,,,,,,,OCR,3700,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,,
AFD,France,2003,2003,,2014,32336,,,PRC,Western Yunnan Roads Development (Baoshan-Longling),EARD,EATC,10/28/2003,,,,,0,,38,,38,DVA,,Collaborative,Bilateral,Loan,OCR,3700,Transport and ICT,,,,,,,,10/28/2003,10/28/2004,,06/22/2009,,Sovereign,Succesful,,,Adj: $35(RRP) (Amt was changed to $38(Euro 35m) AFD approval ref P. Benedic e-mail- 19Dec03). Cofinancing Agreement-10Dec04. No fee,
90,0,0,90,0,34,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank,France,2003,2003,,2025/2747,29296-013,,,VIE,Phuoc Hoa Water Resources,SERD,SEAE,11/27/2003,0,90,0,,90,,,,,,,,,,ADF,3000,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
