partner,year,approval_numbers_cofin,approval_number,proj_no,loan_grant_title
Korea,2013,3013/0353,0353,40255-033,Central Mekong Delta Region Connectivity 
Korea,2013,3047,3047,44213-016,Secondary Education Sector Investment Program - Tranche 1 (Supplementary)
NDF,2013,0357/0358,0357,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
NDF,2013,0357/0358,0358,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
Neighbourhood Investment Facility,2013,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3
OFID,2013,3000/0342/8269,3000,43524-014,Kathmandu Valley Wastewater Management
OFID,2013,3000/0342/8269,0342,43524-014,Kathmandu Valley Wastewater Management
OFID,2013,3000/0342/8269,8269,43524-014,Kathmandu Valley Wastewater Management
Phu Bia Mining Limited,2013,3041/0363,3041,45301-002,Water Supply and Sanitation Sector
Phu Bia Mining Limited,2013,3041/0363,0363,45301-002,Water Supply and Sanitation Sector
P.R.C.,2013,3075,3075,46058-002,Qinghai Delingha Concentrated Solar Thermal Power
SCF-PPCR,2013,352,0352,45354-002,Building Climate Resilience in the Pyanj River Basin
SCF-PPCR,2013,0357/0358,0357,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
SCF-PPCR,2013,0357/0358,0358,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
SCF-PPCR,2013,378,0378,46351-002,Climate Resilience Sector
SCF-PPCR,2013,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
SCF-PPCR,2013,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
UFPF-UEIF,2013,3098/3099/0380,3098,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
UFPF-UEIF,2013,3098/3099/0380,3099,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
UFPF-UEIF,2013,3098/3099/0380,0380,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
World Bank,2013,3008/3009,3008,39293-037,Education Sector Development Program
World Bank,2013,3008/3009,3009,39293-037,Education Sector Development Program
World Bank,2013,3045/3046,3045,42180-013,Second Public-Private Infrastructure Development Facility
World Bank,2013,3045/3046,3046,42180-013,Second Public-Private Infrastructure Development Facility
World Bank,2013,3047,3047,44213-016,Secondary Education Sector Investment Program - Tranche 1
World Bank,2013,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
"France,AFD",2014,3146/3147/0084/8290,3146,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
"France,AFD",2014,3146/3147/0084/8290,3147,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
"France,AFD",2014,3146/3147/0084/8290,0084,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
"France,AFD",2014,3146/3147/0084/8290,8290,47037-004,Green Power Development and Energy Efficiency Improvement Investment Program ﾖ Tranche 1
AIF,2014,3161/8286,3161,46391-001,Ha Noi and Ho Chi Minh City Power Grid Development Sector
AIF,2014,3161/8286,8286,46391-001,Ha Noi and Ho Chi Minh City Power Grid Development Sector
AITF,2014,0411/0412,0411,48326-001,Northern Flood-Damaged Infrastructure Emergency Rehabilitation
AITF,2014,0411/0412,0412,48326-001,Northern Flood-Damaged Infrastructure Emergency Rehabilitation
"Australia,Australia",2014,2852/3125/0285,2852,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
"Australia,Australia",2014,2852/3125/0285,3125,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
"Australia,Australia",2014,2852/3125/0285,0285,46009-003,Flood Damage Emergency Reconstruction ﾖ Additional Financing
"Australia,Australia",2014,3151/401/402/466/467/8299/8300,3151,42334-014,Rural Roads Improvement II
"Australia,Australia",2014,3151/401/402/466/467/8299/8300,0401,42334-014,Rural Roads Improvement II
"Australia,Australia",2014,3151/401/402/466/467/8299/8300,0402,42334-014,Rural Roads Improvement II
"Australia,Australia",2014,3151/401/402/466/467/8299/8300,0466,42334-014,Rural Roads Improvement II
"Australia,Australia",2014,3151/401/402/466/467/8299/8300,0467,42334-014,Rural Roads Improvement II
"Australia,Australia",2014,3151/401/402/466/467/8299/8300,8299,42334-014,Rural Roads Improvement II
"Australia,Australia",2014,3151/401/402/466/467/8299/8300,8300,42334-014,Rural Roads Improvement II
Canada,2014,3130/7407/8281,3130,47919-014,Adjaristsqali Hydropower
Canada,2014,3130/7407/8281,7407,47919-014,Adjaristsqali Hydropower
Canada,2014,3130/7407/8281,8281,47919-014,Adjaristsqali Hydropower
CEF-CEFPF,2014,2517/0384,2517,42182-013,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing
CEF-CEFPF,2014,2517/0384,0384,42182-013,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing
CTF,2014,3113/8279,3113,45200-002,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2
CTF,2014,3113/8279,8279,45200-002,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2
CTF,2014,3219/7435/8289,3219,48233-001,Subyai Wind Power
CTF,2014,3219/7435/8289,7435,48233-001,Subyai Wind Power
CTF,2014,3219/7435/8289,8289,48233-001,Subyai Wind Power
CTF,2014,3235/8291,3235,40080-024,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3
CTF,2014,3235/8291,8291,40080-024,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3
CTF,2014,7409/8283,7409,47937-001,Rantau Dedap Geothermal Development (Phase 1)
CTF,2014,7409/8283,8283,47937-001,Rantau Dedap Geothermal Development (Phase 1)
EBRD,2014,3150,3150,46416-002,Power Transmission Rehabilitation
EBRD,2014,3150,3150,46416-002,Power Transmission Rehabilitation
EC,2014,0414/0424/0443,0414,46455-004,Electricity Supply Security and Sustainability
EC,2014,0414/0424/0443,0424,46455-004,Electricity Supply Security and Sustainability
EC,2014,0414/0424/0443,0443,46455-004,Electricity Supply Security and Sustainability
EC,2014,0422/0423,0422,44482-025,Transport Network Development Investment Program ﾖ Tranche 4
EC,2014,0422/0423,0423,44482-025,Transport Network Development Investment Program ﾖ Tranche 4
EC,2014,3193/0415,3193,46453-002,Renewable Energy Sector
EC,2014,3193/0415,0415,46453-002,Renewable Energy Sector
EDB,2014,3212/0419,3212,46348-003,Toktogul Rehabilitation Phase 2
EDB,2014,3212/0419,0419,46348-003,Toktogul Rehabilitation Phase 2
EIB,2014,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
EIB,2014,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
EIB,2014,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
EIB,2014,2966/0320,2966,42378-015,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary)
EIB,2014,2966/0320,0320,42378-015,Power System Expansion and Efficiency Improvement Investment Program ﾖ Tranche 1 (Supplementary)
EIB,2014,2990/2991,2990,43281-013,Tanahu Hydropower
EIB,2014,2990/2991,2991,43281-013,Tanahu Hydropower
EIB,2014,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
