Year,Loan / Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total,ADB Approval
1981,0526,SRI,Coconut Development,,0.00,12.00,0.00,0.00,12.00,IFAD,0.00,8.00,8.00,24-Sep-1981
1981,0560,NEP,Command Area Development,,13.50,0.00,0.00,0.00,13.50,IFAD,0.00,11.10,12.30,15-Dec-1981
1981,0560,NEP,Command Area Development,,,,,,,UNDP,1.20,0.00,,
1981,0555,BAN,Community Forestry,,0.00,11.00,0.00,0.00,11.00,UNDP,1.84,0.00,1.84,03-Dec-1981
1981,0510,BAN,Community Schools,,0.00,13.50,0.00,0.00,13.50,Norway,0.00,3.00,3.00,21-Apr-1981
1981,0549,MYA,Crop Intensification Program,,0.00,5.00,0.00,0.00,5.00,OFID,0.00,15.00,15.00,25-Nov-1981
1981,0533,NEP,Fourth Power,,0.00,19.40,0.00,0.00,19.40,France,0.00,3.50,4.50,01-Nov-1981
1981,0533,NEP,Fourth Power,,,,,,,UNDP,1.00,0.00,,
1981,0513,MLD,Inter-Island Transport,,0.00,1.00,0.00,0.00,1.00,OFID,0.00,0.88,0.88,18-Aug-1981
1981,0512,NEP,Mini Hydropower,,0.00,8.30,0.00,0.00,8.30,OFID,0.00,4.00,4.75,21-Apr-1981
1981,0512,NEP,Mini Hydropower,,,,,,,UNDP,0.75,0.00,,
1981,0529,PHI,Palawan Integrated Area Development,,0.00,47.00,0.00,0.00,47.00,EC,0.00,7.00,7.00,29-Sep-1981
1981,0516,PAK,Pipri II Thermal Generation,,0.00,55.00,0.00,0.00,55.00,Saudi Fund for Development,0.00,46.00,46.00,23-Jun-1981
1981,0523,BAN,Power System Rehabilitation and Expansion,,0.00,26.50,0.00,0.00,26.50,Canada,1.26,0.00,1.26,22-Sep-1981
1981,0515,MYA,Pump Irrigation and Area Development,,0.00,20.00,0.00,0.00,20.00,EC,0.00,6.00,6.00,23-Jun-1981
1981,0542,PHI,Rural Electrification,,87.50,0.00,0.00,0.00,87.50,Norway,11.58,0.00,31.58,17-Nov-1981
1981,0542,PHI,Rural Electrification,,,,,,,OFID,0.00,20.00,,
1981,0548,PHI,Smallholder Livestock Development,,8.00,0.00,0.00,0.00,8.00,IFAD,0.00,8.00,8.00,25-Nov-1981
1981,0558,BAN,Small-Scale Irrigation (Sector Loan),,0.00,50.00,0.00,0.00,50.00,EC,0.00,12.00,12.00,10-Dec-1981
1981,0551,PNG,Technical Education,,16.00,0.00,0.00,0.00,16.00,OFID,0.00,4.00,4.00,26-Nov-1981
1981,0536,FIJ,Third Power,,16.00,0.00,0.00,0.00,16.00,CDC,0.00,12.11,25.41,10-Nov-1981
1981,0536,FIJ,Third Power,,,,,,,EIB,0.00,13.30,,
1982,0587,BAN,Ashuganj Thermal Power Generation,,0.00,35.00,0.00,0.00,35.00,Germany,0.00,48.00,205.00,21-Oct-1982
1982,0587,BAN,Ashuganj Thermal Power Generation,,,,,,,IDA,0.00,92.00,,
1982,0587,BAN,Ashuganj Thermal Power Generation,,,,,,,Kuwait Fund for Arab Economic Development,0.00,35.00,,
1982,0587,BAN,Ashuganj Thermal Power Generation,,,,,,,OFID,0.00,30.00,,
1982,0593,BAN,Bhola Irrigation,,0.00,27.20,0.00,0.00,27.20,EC,0.00,2.80,2.80,04-Nov-1982
1982,0324/0612,SRI,Kirindi Oya Irrigation and Settlement (Supp.),,0.00,10.00,0.00,0.00,10.00,Germany,0.00,7.60,13.60,09-Dec-1982
1982,0324/0612,SRI,Kirindi Oya Irrigation and Settlement (Supp.),,,,,,,IFAD,0.00,6.00,,
1982,0584,MYA,Mandalay Water Supply,,0.00,15.00,0.00,0.00,15.00,OFID,0.00,7.00,7.00,30-Sep-1982
1982,0605,MAL,Mini Hydropower (Sector),,24.00,0.00,0.00,0.00,24.00,Norway,0.00,2.00,2.00,25-Nov-1982
1982,0615,BAN,Northwest Rural Development,,0.00,45.00,0.00,0.00,45.00,IFAD,0.00,14.50,14.50,14-Dec-1982
1982,0578,PAK,Pipri II Thermal Generation (Supplementary),,0.00,29.00,0.00,0.00,29.00,OFID,0.00,5.50,5.50,29-Jul-1982
1982,0599,NEP,Science Education,,0.00,8.00,0.00,0.00,8.00,UNDP,2.00,0.00,2.00,18-Nov-1982
1982,0577,INO,Second Agricultural Credit Package,,27.57,0.00,0.00,0.00,27.57,Switzerland,0.00,0.43,0.43,29-Jul-1982
1982,0573,MYA,Second Forestry,,0.00,25.00,0.00,0.00,25.00,UNDP,0.65,0.00,0.65,29-Jun-1982
1982,0596,NEP,Second Hill Irrigation,,0.00,20.00,0.00,0.00,20.00,UNDP,1.37,0.00,1.37,04-Nov-1982
1982,0613,THA,Second Power System Expansion,,81.60,0.00,0.00,0.00,81.60,IBRD,0.00,4.96,4.96,09-Dec-1982
1982,0618,THA,Songkhla Lake Basin Planning Study,,3.00,0.00,0.00,0.00,3.00,UNDP,0.50,0.00,0.50,21-Dec-1982
1982,0601,PAK,Tarbela Hydropower Extension (Units 9 and 10),,29.00,0.00,0.00,0.00,29.00,Canada,0.00,17.00,49.00,23-Nov-1982
1982,0601,PAK,Tarbela Hydropower Extension (Units 9 and 10),,,,,,,OFID,0.00,32.00,,
1982,0585,SRI,Technical Education,,0.00,16.10,0.00,0.00,16.10,DFID,0.19,0.00,3.82,30-Sep-1982
1982,0585,SRI,Technical Education,,,,,,,Sida,0.00,2.93,,
1982,0585,SRI,Technical Education,,,,,,,UNDP,0.70,0.00,,
1982,0570,PAK,Telecommunications,,29.00,0.00,0.00,0.00,29.00,Germany,0.00,30.00,70.00,17-Jun-1982
1982,0570,PAK,Telecommunications,,,,,,,IBRD,0.00,40.00,,
1982,0597,PHI,Third Road Improvement,,68.00,0.00,0.00,0.00,68.00,Kuwait Fund for Arab Economic Development,0.00,11.50,11.50,11-Nov-1982
1983,0664,THA,Agricultural Credit,,50.00,0.00,0.00,0.00,50.00,EC,0.00,17.00,17.00,06-Dec-1983
1983,0646,SOL,Agricultural Development,,0.00,7.75,0.00,0.00,7.75,Australia,0.00,2.00,7.00,29-Oct-1983
1983,0646,SOL,Agricultural Development,,,,,,,IDA,0.00,3.50,,
1983,0646,SOL,Agricultural Development,,,,,,,IFAD,0.00,1.50,,
1983,0632,VAN,Agricultural Extension and Training,,0.00,1.10,0.00,0.00,1.10,IDA,0.00,2.00,2.00,04-Aug-1983
1983,0657,BAN,Bangladesh Krishi Bank,,0.00,40.00,0.00,0.00,40.00,UNDP,0.30,0.00,0.30,29-Nov-1983
1983,0624,TON,Development and Redevelopment,,0.00,2.20,0.00,0.00,2.20,IFAD,0.00,1.00,1.00,26-Apr-1983
1983,0671,BAN,Ganges-Kobadak Rehabilitation & Improvement,,0.00,37.00,0.00,0.00,37.00,UNDP,1.40,0.00,1.40,14-Dec-1983
1983,0660,PAK,Guddu Combined Cycle,,0.00,140.90,0.00,0.00,140.90,USAID,0.00,52.00,52.00,01-Nov-1983
1983,0672,BAN,Health and Family Planning Services,,0.00,27.50,0.00,0.00,27.50,UNDP,0.21,0.00,0.21,14-Dec-1983
1983,0633,NEP,Hill Forest Development,,0.00,16.70,0.00,0.00,16.70,Finland,0.00,1.40,1.40,09-Aug-1983
1983,0627,INO,Irrigation Package II,,52.00,0.00,0.00,0.00,52.00,IFAD,0.00,25.00,25.00,19-May-1983
1983,0623,THA,Mineral Resources Development,,39.00,0.00,0.00,0.00,39.00,Canada,7.07,0.00,7.07,14-Apr-1983
1983,0636,BAN,Power Transmission and Distribution,,0.00,82.00,0.00,0.00,82.00,Germany,0.00,18.05,18.05,13-Sep-1983
1983,0674,INO,Power XVIII,,135.00,0.00,0.00,0.00,135.00,Germany,0.00,11.00,11.00,20-Dec-1983
1983,0665,MYA,Rangoon General Hospital,,0.00,44.60,0.00,0.00,44.60,Finland,0.00,4.00,4.00,08-Dec-1983
1983,0673,MAL,Second Vocational Education,,58.00,0.00,0.00,0.00,58.00,IsDB,0.00,8.30,8.30,20-Dec-1983
1983,0643,LAO,Vientiane Plain Road Improvement,,0.00,8.00,0.00,0.00,8.00,UNDP,0.49,0.00,0.49,11-Oct-1983
1984,0680,PHI,Agricultural Inputs Program,,130.00,0.00,0.00,0.00,130.00,IBRD,0.00,150.00,150.00,27-Mar-1984
1984,0685,INO,Arakundo-Jambu Aye Irrigation & Flood Control,,68.00,0.00,0.00,0.00,68.00,Saudi Fund for Development,0.00,26.50,26.50,05-Jul-1984
1984,0707,SAM,Development Bank of Western Samoa V,,0.00,4.00,0.00,0.00,4.00,IDA,0.00,2.00,2.05,15-Nov-1984
1984,0707,SAM,Development Bank of Western Samoa V,,,,,,,UNDP,0.05,0.00,,
1984,0693,INO,Fisheries Infrastructure Sector,,50.00,0.00,0.00,0.00,50.00,IsDB,0.00,10.70,10.70,25-Sep-1984
1984,0704,SOL,Guadalcanal Road Improvement,,0.00,2.00,0.00,0.00,2.00,IDA,0.00,2.00,3.50,06-Nov-1984
1984,0704,SOL,Guadalcanal Road Improvement,,,,,,,OFID,0.00,1.50,,
1984,0710,PAK,Health and Population II,,0.00,16.00,0.00,0.00,16.00,UNDP,0.50,0.00,0.50,29-Nov-1984
1984,0700,PAK,Left Bank Outfall Drain (Stage I),,0.00,122.00,0.00,0.00,122.00,CIDA,0.00,37.20,306.40,25-Oct-1984
1984,0700,PAK,Left Bank Outfall Drain (Stage I),,,,,,,DFID,0.00,35.70,,
1984,0700,PAK,Left Bank Outfall Drain (Stage I),,,,,,,IDA,0.00,150.00,,
1984,0700,PAK,Left Bank Outfall Drain (Stage I),,,,,,,IsDB,0.00,11.50,,
1984,0700,PAK,Left Bank Outfall Drain (Stage I),,,,,,,OFID,0.00,10.00,,
1984,0700,PAK,Left Bank Outfall Drain (Stage I),,,,,,,Saudi Fund for Development,0.00,52.00,,
1984,0700,PAK,Left Bank Outfall Drain (Stage I),,,,,,,Switzerland,0.00,10.00,,
1984,0717,THA,Mae Moh (Unit 8) Power,,122.60,0.00,0.00,0.00,122.60,JBIC (ODA),0.00,6.57,18.07,11-Dec-1984
1984,0717,THA,Mae Moh (Unit 8) Power,,,,,,,Switzerland,0.00,11.50,,
1984,0712,SRI,Plantation Sector,,0.00,90.00,0.00,0.00,90.00,DFID,0.00,5.50,74.30,01-Nov-1984
1984,0712,SRI,Plantation Sector,,,,,,,IDA,0.00,55.00,,
1984,0712,SRI,Plantation Sector,,,,,,,Netherlands,0.00,8.30,,
1984,0712,SRI,Plantation Sector,,,,,,,Norway,0.00,5.50,,
1984,0718,THA,Rural Telecommunications,,72.60,0.00,0.00,0.00,72.60,JBIC (ODA),0.00,13.20,13.20,11-Dec-1984
