,Year,Loan Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total.1,ADB Approval
244,2011,2453/2454/0253/0254,BAN,Public-Private Infrastructure Development Facility,CCF,0.0,0.0,0.0,1.3,1.3,ACEF,2.0,0.0,2.0,17-May-2011
247,2011,2836/8267,PHI,Road Improvement and Institutional Development,,62.0,0.0,0.0,0.0,62.0,OFID,0.0,30.0,30.0,15-Dec-2011
250,2011,2785/0259/8274,PNG,Rural Primary Health Services Delivery,,0.0,20.0,0.0,0.0,20.0,Australia,40.0,0.0,51.2,30-Sep-2011
251,2011,2785/0259/8274,PNG,Rural Primary Health Services Delivery,,,,,,,JICA,1.2,0.0,,
252,2011,2785/0259/8274,PNG,Rural Primary Health Services Delivery,,,,,,,OFID,0.0,9.0,,
253,2011,2785/0259/8274,PNG,Rural Primary Health Services Delivery,,,,,,,WHO,1.0,0.0,,
254,2011,G0272/0289,NEP,School Sector Program,,0.0,0.0,65.0,0.0,65.0,Australia,15.6,0.0,264.5,22-Nov-2011
255,2011,G0272/0289,NEP,School Sector Program,,,,,,,Denmark,17.9,0.0,,
256,2011,G0272/0289,NEP,School Sector Program,,,,,,,DFID,4.0,0.0,,
257,2011,G0272/0289,NEP,School Sector Program,,,,,,,EC,47.9,0.0,,
258,2011,G0272/0289,NEP,School Sector Program,,,,,,,Finland,13.2,0.0,,
259,2011,G0272/0289,NEP,School Sector Program,,,,,,,FTI,70.0,0.0,,
260,2011,G0272/0289,NEP,School Sector Program,,,,,,,Norway,22.4,0.0,,
261,2011,G0272/0289,NEP,School Sector Program,,,,,,,UNICEF,1.0,0.0,,
262,2011,G0272/0289,NEP,School Sector Program,,,,,,,World Bank,72.5,0.0,,
263,2011,0175/0176/0177/0207/0210,SOL,Second Road Improvement (Sector) (2nd Supplementary),,0.0,0.0,0.0,0.0,0.0,AUS-PRIF,4.04,0.0,4.04,08-Jun-2011
264,2011,2795/0263/0387,KIR,South Tarawa Sanitation Improvement Sector,,0.0,7.56,0.0,0.0,7.56,Australia,13.95,0.0,13.95,17-Oct-2011
279,2012,0301/8259,TAJ,Central Asia Regional Economic Cooperation Corridor 6 (Ayni-Uzbekistan Border Road) Improvement,,0.0,0.0,100.0,0.0,100.0,OFID,0.0,14.0,14.0,11-Sep-2012
280,2012,2695/0323,BAN,City Region Development - Additional Financing,,0.0,0.0,0.0,0.0,0.0,Sida,13.0,0.0,13.0,08-Nov-2012
281,2012,0303/2892/2893,SRI,Clean Energy and Network Efficiency Improvement,,100.0,30.0,0.0,0.0,130.0,CEF-CEFPF,1.5,0.0,1.5,18-Sep-2012
282,2012,2913/0310/8258,BAN,Coastal Climate-Resilient Infrastructure,,0.0,20.0,0.0,0.0,20.0,IFAD,1.0,59.0,98.8,28-Sep-2012
283,2012,2913/0310/8258,BAN,Coastal Climate-Resilient Infrastructure,,,,,,,KfW,8.8,0.0,,
284,2012,2913/0310/8258,BAN,Coastal Climate-Resilient Infrastructure,,,,,,,SCF-PPCR,10.0,20.0,,
287,2012,0127/0292/0293,SOL,Domestic Maritime Support (Sector) (Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,4.3,0.0,6.8,23-May-2012
288,2012,0127/0292/0293,SOL,Domestic Maritime Support (Sector) (Supplementary),,,,,,,New Zealand,2.5,0.0,,
289,2012,2455/0116/0302,CAM,Emergency Food Assistance - Additional Financing,,0.0,17.5,17.5,0.0,35.0,GAFSP,24.5,0.0,24.5,11-Sep-2012
294,2012,2852/3125/0285,CAM,Flood Damage Emergency Reconstruction,,0.0,55.0,0.0,0.0,55.0,Australia,5.25,0.0,5.25,27-Mar-2012
295,2012,2862-64/0287/8270,BAN,Greater Dhaka Sustainable Urban Transport,,100.0,60.0,0.0,0.0,160.0,AFD,0.0,45.0,49.6,17-Apr-2012
296,2012,2862-64/0287/8270,BAN,Greater Dhaka Sustainable Urban Transport,,,,,,,GEF,4.6,0.0,,
297,2012,2969/0329,VIE,Greater Mekong Subregion Corridor Towns Development,,0.0,130.0,0.0,0.0,130.0,UFPF-UEIF,1.0,0.0,1.0,12-Dec-2012
298,2012,2931/G0313-0314,LAO,Greater Mekong Subregion East-West Economic Corridor Towns Development,,0.0,26.6,14.2,0.0,40.8,UFPF-UEIF,0.64,0.0,0.64,06-Nov-2012
299,2012,2970/0330/8262,CAM,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,,0.0,35.0,0.0,0.0,35.0,SCF-PPCR,5.8,4.0,9.8,12-Dec-2012
300,2012,2936-2937/G0316-0317,VIE,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,,0.0,45.0,0.0,0.0,45.0,Australia,5.89,0.0,5.89,06-Nov-2012
301,2012,2983/0334/0335/8265,CAM,Greater Mekong Subregion Southern Economic Corridor Towns Development,,0.0,37.0,0.0,0.0,37.0,SCF-PPCR,4.4,5.0,10.9,10-Dec-2012
302,2012,2983/0334/0335/8265,CAM,Greater Mekong Subregion Southern Economic Corridor Towns Development,,,,,,,UFPF-UEIF,1.5,0.0,,
