Anchor Product,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
9155,JFPR,Japan,2011,2011.0,9155,9155,44134-012,,,BHU,Advancing Economic Opportunities of Women and Girls,SARD,SAOD,02/04/2011,,,,,0.0,1.95,,,1.95,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900.0,Multisector,3900,Multisector,12/22/2010,,,No,,02/04/2011,05/09/2011,01/31/2014,,Under Administration,Sovereign,,,,,
9156,Asian Development Bank,Japan,2011,2011.0,,9156,44363-012,,,CAM, Improving Market Access for the Poor in Central Cambodia,SERD,SEHS,02/16/2011,,,,,0.0,,,,,,,,,,,3500.0,Industry and Trade,,,,,,,,,,,,,,,,,,
9156,JFPR,Japan,2011,2011.0,9156,9156,44363-012,,,CAM, Improving Market Access for the Poor in Central Cambodia,SERD,SEHS,02/16/2011,,,,,0.0,1.9,,,1.9,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3500.0,Industry and Trade,,,12/22/2010,,,No,,02/16/2011,04/05/2011,03/01/2014,,Under Administration,Sovereign,,,,,
9157,Asian Development Bank,Japan,2011,2011.0,,9157,43103-012,,,NEP,Reducing Child Malnutrition through Social Protection,SARD,NRM,02/28/2011,,,,,0.0,,,,,,,,,,,3400.0,Health and Social Protection,,,,,,,,,,,,,,,,,,
9157,JFPR,Japan,2011,2011.0,9157,9157,43103-012,,,NEP,Reducing Child Malnutrition through Social Protection,SARD,NRM,02/28/2011,,,,,0.0,2.0,,,2.0,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3400.0,Health and Social Protection,,,11/09/2010,,,No,,02/28/2011,06/08/2011,12/31/2014,,Under Administration,Sovereign,,,,,
9158,Asian Development Bank,Japan,2011,2011.0,,9158,44135-012,,,REG," Improving Gender-Inclusive Access to Clean and Renewable Energy in Bhutan, Nepal and Sri Lanka",SARD,SLRM,03/18/2011,,,,,0.0,,,,,,,,,,,3200.0,Energy,,,,,,,,,,,,,,,,,,
9158,JFPR,Japan,2011,2011.0,9158,9158,44135-012,,,REG," Improving Gender-Inclusive Access to Clean and Renewable Energy in Bhutan, Nepal and Sri Lanka",SARD,SLRM,03/18/2011,,,,,0.0,3.0,,,3.0,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3200.0,Energy,,,12/27/2010,,,No,,03/18/2011,,,,Approved,Sovereign,,,,,
9159,Asian Development Bank,Japan,2011,2011.0,,9159,42321-012,,,NEP,Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups,SARD,NRM,03/30/2011,,,,,0.0,,,,,,,,,,,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
9159,JFPR,Japan,2011,2011.0,9159,9159,42321-012,,,NEP,Support for Targeted and Sustainable Development Programs for Highly Marginalized Groups,SARD,NRM,03/30/2011,,,,,0.0,2.7,,,2.7,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3900.0,Multisector,3900,Multisector,01/28/2011,,,No,,03/30/2011,06/08/2011,06/08/2015,,Under Administration,Sovereign,,,,,
9160,Asian Development Bank,Japan,2011,2011.0,,9160,44129-012,,,REG,Developing Sustainable Alternative Livelihoods in Coastal Fishing Communities in the Coral Triangle,SERD,SEER,11/02/2011,,,,,0.0,,,,,,,,,,,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,Indonesia and the Philippines,
9160,JFPR,Japan,2011,2011.0,9160,9160,44129-012,,,REG,Developing Sustainable Alternative Livelihoods in Coastal Fishing Communities in the Coral Triangle,SERD,SEER,11/02/2011,,,,,0.0,2.0,,,2.0,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3000.0,Agriculture and Natural Resources,,,06/01/2011,,,No,,11/02/2011,,,,Approved,Sovereign,,,,Indonesia and the Philippines,
9161,Asian Development Bank,Japan,2012,2012.0,9161,9161,45127-001,,,PHI,Enhancing Access to Quality Early Childhood Education Services for Children in Poor Communities,SERD,SEHS,02/20/2012,,,,,0.0,,,,,,,,,,,3100.0,Education,3101,Pre-Primary and Basic Education,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
9161,JFPR,Japan,2012,2012.0,9161,9161,45127-001,,,PHI,Enhancing Access to Quality Early Childhood Education Services for Children in Poor Communities,SERD,SEHS,02/20/2012,,,,,0.0,1.5,,,1.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,,3100.0,Education,,Pre-Primary and Basic Education,11/30/2011,,,No,,02/20/2012,,,,Under Administration,Sovereign,,,,,
