,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
584,1492,2011,8018,REG,Establishing a Pilot Center to Facilitate Climate Technology Investment in Asia and the Pacific - Promotion of Investment in Climate Technology Products through Venture Capital Funds (Subproject 1),R-PATA,J,C,Multisector,Bilateral,Single Donor,"1,500.00",ACEF,,20-Dec-2011,True
585,1493,2011,8019,IND,Advanced Project Preparedness for Poverty Reduction - State Roads (Subproject 20),PPTA,E,PS,Transport and ICT,Bilateral,Single Donor,"1,200.00",UKG,,21-Dec-2011,True
588,1496,2011,8033,REG,Supporting Public Management through e-Government Capacity Development,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,EAKPF,,23-Dec-2011,True
589,1497,2011,8038,PHI,Capacity Development of Financial Regulators,CDTA,E,C,Finance,Bilateral,Single Donor,"1,000.00",JFPR,,16-Dec-2011,True
590,1498,2011,8040,REG,Master Plan on ASEAN Connectivity Implementation,CDTA,E,PS,Multisector,Bilateral,Single Donor,975.00,JAIF,,15-Dec-2011,True
591,1499,2011,8041,IND,Advanced Project Preparedness for Poverty Reduction - Designing and Capacity Building for Strengthening State Finances and Service Delivery in West Bengal (Subproject 21),PPTA,E,PS,Public Sector Management,Bilateral,Single Donor,220.00,UKG,,17-Dec-2011,True
592,1500,2011,8043,IND,Advanced Project Preparedness for Poverty Reduction - Rajasthan Urban Development Program (Subproject 22),PPTA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,750.00,UKG,,22-Dec-2011,True
593,1501,2011,8045,INO,Improving Domestic Connectivity,PATA,E,C,Transport and ICT,Bilateral,Single Donor,500.00,JFPR,,12-Dec-2011,True
596,1504,2012,6321,REG,Fighting HIV/AIDS in Asia and the Pacific (4th Supplementary),R-CDTA,,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,"1,500.00",HIV/AIDS Fund,,13-Dec-2012,True
597,1505,2012,6321,REG,Fighting HIV/AIDS in Asia and the Pacific (3rd Supplementary),R-CDTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,880.00,HIV/AIDS Fund,,06-Feb-2012,True
598,1506,2012,6337,REG,Development Partnership Program for South Asia (Supplementary),R-CDTA,,C,Public Sector Management,Bilateral,Single Donor,"3,155.00",AUS-ADB South Asia Development Partnership Facility,,29-Jun-2012,True
602,1510,2012,6467,REG,HIV Prevention and Infrastructure: Mitigating Risk in the GMS (Supplementary),RETA,,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,"1,000.00",HIV/AIDS Fund,,02-Dec-2012,True
603,1511,2012,6498,REG,Knowledge and Innovation Support for ADB's Water Financing Program (4th Supplementary),R-CDTA,,C,Agriculture and Natural Resources,Bilateral,Single Donor,444.88,AUS-PRIF,,07-Jun-2012,True
604,1512,2012,6501,REG,Expanding the Implementation of the Energy Efficiency Initiative in Developing Member Countries (Supplementary),R-PPTA,,C,Energy,Bilateral,Single Donor,750.00,Denmark-Energy 2,,26-Nov-2012,True
605,1513,2012,6501,REG,Expanding the Implementation of the Energy Efficiency Initiative in Developing Member Countries (Supplementary),R-PPTA,,PS,Energy,Bilateral,Single Donor,120.00,USA,,01-Jun-2012,True
606,1514,2012,6509,REG,Minimizing Foreign Exchange Settlement Risk in the ASEAN+3 Region: Support for Group of Experts (Supplementary),R-RDTA,,C,Finance,Bilateral,Single Donor,450.00,EAKPF,,18-May-2012,True
607,1515,2012,6522,REG,Establishment of the Pacific Infrastructure Advisory Center (4th Supplementary),R-PATA,E,PS,Multisector,Bilateral,Single Donor,"1,500.00",AUS,,15-May-2012,True
608,1516,2012,7122,PHI,Water District Development Sector (Supplementary),PPTA,,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,70.00,MDTF-WFPF,,20-Sep-2012,True
609,1517,2012,7189,INO,Institutional Strengthening for Integrated Water Resources Management in the 6 Cis River Basin Territory (Supplementary),CDTA,J,PS,Multisector,Bilateral,Single Donor,"1,000.00",NET,,15-May-2012,True
616,1524,2012,7512,REG,Empowering the Poor through Increasing Access to Energy (4th Supplementary),R-PPTA,,PS,Energy,Bilateral,Single Donor,"2,070.00",AUS,14-Mar-2012,18-Jun-2012,True
617,1525,2012,7575,REG, Determining the Potential for Carbon Capture and Storage in Southeast Asia (2nd Supplementary),R-CDTA,,C,Energy,Multi-Donor Trust Fund,Multidonor,100.00,CCSF,25-May-2012,21-Jun-2012,True
618,1526,2012,7645,REG,Enabling Climate Change Responses in Asia and the Pacific - Strengthening Planning Capacity for Low Carbon Growth in Developing Asia (Subproject 4) (Supplementary),R-RDTA,,PS,Multisector,Bilateral,Single Donor,135.02,Foreign Commonwealth Office - UKG,25-Jul-2012,24-Aug-2012,True
619,1527,2012,7713,IND,Project Management Capacity Building for Water Resources Sector Executing Agencies,CDTA,,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,200.00,MDTF-WFPF,29-Oct-2012,19-Nov-2012,True
620,1528,2012,7796,PHI,Strengthening Public-Private Partnerships in the Philippines (Supplementary),CDTA,,PS,Public Sector Management,Bilateral,Single Donor,"15,000.00",AUS,28-Feb-2012,20-Apr-2012,True
621,1529,2012,7827,REG,"Strengthening Climate Risk and Resilience Capacity of Pacific Developing Member Countries, Phase 1 (Supplementary)",R-CDTA,,PS,Multisector,Global Fund,Multidonor,195.00,SCF-PPCR,30-Apr-2012,29-Aug-2012,True
622,1530,2012,7842,REG,Enhancing Knowledge on Climate Technology and Financing Mechanisms (Supplementary),R-CDTA,,PS,Multisector,Bilateral,Single Donor,48.73,AUS,,30-May-2012,True
623,1531,2012,7872,REG,Learning from e-learning: Testing Intelligent Learning Systems in South Asian Countries (Supplementary),R-RDTA,,C,Education,Bilateral,Single Donor,500.00,EAKPF,22-Nov-2012,27-Nov-2012,True
624,1532,2012,7934,CAM,Implementing Subprogram 2 of the Third Financial Sector Program (Supplementary),CDTA,,C,Finance,Multi-Donor Trust Fund,Multidonor,500.00,FSDPF,24-Sep-2012,18-Dec-2012,True
625,1533,2012,7935,NEP,Capacity Development for School Sector Program Implementation (Supplementary),CDTA,,PS,Education,Bilateral,Single Donor,525.00,AUS,03-Nov-2011,30-Apr-2012,True
627,1535,2012,7955,PHI,Education Improvement Sector Development Program (Supplementary),PPTA,J,PS,Education,Bilateral,Single Donor,313.17,AUS,,14-May-2012,True
