,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
1588,IsDB,IsDB,2015,2015.0,,3271,44318-026,,,UZB,Housing for Integrated Rural Development Investment ProgramﾗTranche 3,CWRD,CWPF,08/20/2015,,,,,0.0,,100.0,,100.0,DVA,FW,Collaborative,Multilateral,Loan,,3300.0,Finance,,Housing Finance,,,,No,,08/20/2015,,,,,Sovereign,,,,,,3271
1591,IsDB,IsDB,2015,2015.0,3350,3350,42378-017,,,BAN,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3,SARD,SAEN,12/08/2015,,,,,0.0,,220.0,,220.0,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,,07/07/2015,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,,3350
1677,JBIC (ODA),Japan,1988,1988.0,,889,16116,,,PHI,Forestry Sector Program,SERD,SEAE,06/28/1988,,,,,0.0,,120.0,,120.0,DVA,,Collaborative,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,06/28/1988,09/05/1988,,12/31/1993,,Sovereign,,,,PA 26Apr1989.,,889
1680,JBIC (non-ODA),Japan,1988,1988.0,,925,17003,,,PAK,KESC Fifth Power (Sector),CWRD,,11/24/1988,,,,,0.0,,100.0,,100.0,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,11/24/1988,02/05/1990,,03/31/1998,,Sovereign,PS,,,"ADB Admin. COLA 18-Jan-90.  Total admin fee $100,000.",,925
1689,JBIC (non-ODA),Japan,1989,1989.0,,966,22265,,,INO,Tenth Road (Sector),SERD,,08/10/1989,,,,,0.0,,50.0,,50.0,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,08/10/1989,11/03/1989,,10/15/1994,,Sovereign,GS,,,COLA 30Mar1990.,,966
1692,JBIC (ODA),Japan,1989,1989.0,,972,17125,,,PHI,Fisheries Sector Program,SERD,SEAE,09/26/1989,,,,,0.0,,70.0,,70.0,DVA,,Collaborative,Bilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,09/26/1989,11/08/1989,,12/31/1995,,Sovereign,GS,,,PA Aug91,,972
1695,JBIC (ODA),Japan,1989,1989.0,,986,22229,,,PHI,Angat Water Supply Optimization,SERD,SESS,11/14/1989,,,,,0.0,,56.89,,56.89,DVA,,Collaborative,Bilateral,Loan,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,11/14/1989,01/24/1990,,11/14/2002,,Sovereign,PS,,,Adj Dec05 from $80 to $56.892 ($56.89).  PA 21Jun90.,,986
1698,JBIC (ODA),Japan,1989,1989.0,,997,22355,,,PNG,Agriculture Sector Program,PARD,POHQ,12/12/1989,,,,,0.0,,20.0,,20.0,DVA,,Collaborative,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/12/1989,12/22/1989,,06/30/1992,,Sovereign,PS,,,PA draft on file.,,997
1713,JBIC (ODA),Japan,1990,1990.0,,1047,21176,,,PHI,Road and Road Transport Program,SERD,,11/08/1990,,,,,0.0,,100.0,,100.0,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/08/1990,12/24/1990,,09/28/1992,,Sovereign,,,,"PCR IN 103-93, 24Jun93. PA 29May1992",,1047
1716,JBIC (ODA),Japan,1991,1991.0,,1081,25092,,,IND,Special Assistance,SARD,,04/04/1991,,,,,0.0,,150.0,,150.0,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,04/04/1991,04/18/1991,,04/23/1991,,Sovereign,,,,PA 24Jan91.,,1081
1722,JBIC (ODA),Japan,1991,1991.0,,1148,25363,,,IND,Hydrocarbon Sector Program,SARD,,12/17/1991,,,,,0.0,,250.0,,250.0,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/17/1991,12/20/1991,,09/18/1997,,Sovereign,PS,,,PA 28Feb93.,,1148
1725,JBIC (non-ODA),Japan,1992,1992.0,,1162,21064,,,PRC,Laiwu Iron & Steel Mill Modernization & Expansion,EARD,EARD,03/31/1992,,,,,0.0,,35.0,,35.0,DVA,,Collaborative,Bilateral,Loan,OCR,3500.0,Industry and Trade,,,,,,,,03/31/1992,07/24/1992,,12/21/1999,,Sovereign,S,,,COLA 28Jan1994. PCR Sep01,,1162
1749,JBIC (non-ODA),Japan,1993,1993.0,,1276,26347,,,THA,Second Erawan Gas Transmission,SERD,SEEN,12/02/1993,,,,,0.0,,70.4,,70.4,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/02/1993,08/11/1994,,02/28/1997,,Sovereign,GS,,,"COLA 22Jun 1994, Joint cf. Adj $100 to $70.4.",,1276
1761,JBIC (ODA),Japan,1994,1994.0,1298 (CL),1298,22237,,,BAN,Jamuna Bridge,SARD,SATC,03/08/1994,,,,,0.0,,200.0,,200.0,DVA,,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,03/08/1994,08/12/1994,,12/19/2002,,Sovereign,HS,,,PCR Dec00. MOU coordination 16Aug94.,,1298
1803,JBIC (ODA),Japan,1996,1996.0,,1452,26362,,,NEP,"Kali Gandaki ""A"" Hydroelectric",SARD,SAID,07/23/1996,,,,,0.0,,100.6,,100.6,DVA,,Collaborative,Bilateral,Loan,ADF,3200.0,Energy,,,,,,,,07/23/1996,12/12/1996,,04/26/2004,,Sovereign,S,,,PCR sent 24May04. Adj in Dec04  JBIC from $160 to $100.6; Bank loan to be adj to check LTAA.  PA14Feb97.,,1452
1828,JBIC (ODA),Japan,1998,1998.0,,1630,29151,,,KGZ,Second Road Rehabilitation,CWRD,CWID,09/10/1998,,,,,0.0,,40.5,,40.5,DVA,,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,09/10/1998,03/10/1999,,02/18/2005,,Sovereign,S,,,Adj Dec05 from $40.8 to 40.5 ref PCR Aug05. PCR was sent 1Sep05. PA 26Jan99.,,1630
1831,JBIC (ODA),Japan,1998,1998.0,1647 (CL),1647,29120,,,IND,Rajasthan Urban Infrastructure Development,SARD,INRM,12/03/1998,,,,,0.0,,85.0,,85.0,DVA,,Collaborative,Bilateral,Loan,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/03/1998,01/18/2000,,06/11/2009,,Sovereign,Succesful,,,Cf listed in 2004. PA 25Oct2004 (App 11Oct04). Adj. transferred from 2004 to 1998. From multisector to Water,,1647
1840,JBIC (ODA),Japan,1998,1998.0,,1654,25182,,,PHI,Secondary Education Dev. & Improvement,SERD,,12/11/1998,,,,,0.0,,59.01,,59.01,DVA,,Collaborative,Bilateral,Loan,OCR,3100.0,Education,,,,,,,,12/11/1998,05/19/1999,,10/14/2008,,Sovereign,Succesful,,,"OECF ""A"". PA 17Jan2000. PCR sent to JICA 6Jun09. Adj Dec09 from $54.3 to $59.008; ADB $53 to $32.12.  File to OAS Aug10.","DR 2012. line on big Development Partnership Results, pp1; para in SERD section on Partnership Results, pp 24.",1654
1849,JBIC (ODA),Japan,1998,1998.0,,1663-1665,30480,,,PHI,Metro Manila Air Quality Improvement Sector Dev. Program,SERD,SEOC,12/16/1998,,,,,0.0,,300.0,,300.0,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/16/1998,12/29/1998,,11/17/2008,,Sovereign,Partly successful,,,"Under NMI. L1663 Policy loan, Bank ($200). PA 10Mar89. Formerly multisector to Transport",,1663-1665
1855,JBIC (ODA),Japan,1999,1999.0,,1675-1676,32516,,,INO,Health and Nutrition Sector Development Program (Policy Loan),SERD,SESS,03/25/1999,,,,,0.0,,300.0,,300.0,DVA,,Collaborative,Bilateral,Loan,OCR,3400.0,Health and Social Protection,,,,,,,,03/25/1999,03/25/1999,,07/28/2004,,Sovereign,S,,,"Under NMI.  Loan agreement (12Mar99), PA 23Apr99.  PCR sent 20Jul05.",,1675-1676
1858,JBIC (ODA),Japan,1999,1999.0,,1698,32421,,,THA,Agriculture Sector Program,SERD,,09/29/1999,,,,,0.0,,300.0,,300.0,DVA,,Collaborative,Bilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,09/29/1999,10/12/1999,,05/02/2002,,Sovereign,PS,,,Under NMI. PA30Sep99. PCR sent 20May05. Adj.Dec05 ADB loan amt from $300 to $150.,,1698
1861,JBIC (ODA),Japan,1999,1999.0,,1711,26522,,,SRI,Southern Transport Dev,SARD,SAID,11/25/1999,,,,,0.0,,180.0,,180.0,DVA,,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,11/25/1999,10/30/2002,,02/25/2011,,Sovereign,,,,,,1711
1868,JBIC (ODA),Japan,2000,2000.0,,1737,,,,UZB,Senior Secondary Education,CWRD,CWSS,02/08/2000,,,,,0.0,,57.0,,57.0,DVA,,Collaborative,Bilateral,Loan,OCR,3100.0,Education,,,,,,,,02/08/2000,02/01/2001,,11/23/2007,,Sovereign,Partly successful,Partly successful,,PA 2May01.  PCR Dec07.  Files sent to OAS Feb08.,,1737
1871,JBIC (ODA),Japan,2000,2000.0,,1820/8235,31624,,,NEP,Melamchi Water Supply,SARD,SASS,12/21/2000,,,,,0.0,,47.5,,47.5,DVA,,Collaborative,Bilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/21/2000,11/28/2001,,,,Sovereign,,,,PA 6Aug2001.  JBIC from $52 to $47.5m (ref major change in scope R19-08 Jan08). Adj in Dec08.,,1820
1878,JBIC (ODA),Japan,2002,2002.0,,1913-1914,34023,,,SRI,Plantation Development,SARD,SAAE,09/13/2002,,,,,0.0,,25.0,,25.0,DVA,,Collaborative,Bilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,09/13/2002,08/29/2003,,02/22/2010,,Sovereign,Succesful,,,PA 12Dec03.,,1913-1914
1881,JBIC (ODA),Japan,2002,2002.0,,1929,30207,,,SRI,Power Sector Development Program,SARD,SAID,10/31/2002,,,,,0.0,,75.0,,75.0,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,10/31/2002,11/28/2002,,08/30/2006,,Sovereign,Partly successful,Partly Successful,,Not in the RRP but ML confirmed the amount in the BTOR after the approval of the loan. PA 12Dec03.,,1929
1890,JBIC (ODA),Japan,2002,2002.0,,1986/8206,31280,,,SRI,Road Sector Development,SARD,SAID,12/19/2002,,,,,0.0,,80.0,,80.0,DVA,,Collaborative,Bilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,12/19/2002,05/22/2003,,05/14/2009,,Sovereign,Succesful,Partly Successful,,PA 12Dec03.,,1986
