,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
1981,JICA,Japan,2011,2011.0,2756 (CL),2756,42171-013,,,BAN,Khulna Water Supply,SARD,SAUW,06/14/2011,,,,,0.0,,184.0,,184.0,DVA,,Collaborative,Bilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,06/14/2011,01/04/2012,,,,Sovereign,,,,,,2756
1984,JICA,Japan,2011,2011.0,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.0,30.0,,,30.0,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
1990,JICA,Japan,2012,2012.0,,2857/2858,45094-001,,,TIM,Road Network Upgrading,PARD,PATE,03/30/2012,,,,,0.0,,68.7,,68.7,DVA,,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,03/30/2012,,,,,Sovereign,,,,waiting for MOU for reclassification to DVA-collab,"DR 2012. para in PARD section on New Joint Initiatives, pp 17.",2857
1993,JICA,Japan,2012,2012.0,,2872,43396-013,,,PHI,Increasing Competitiveness for Inclusive Growth Program - Subprogram 1,SERD,SEPF,06/26/2012,,,,,0.0,,100.0,,100.0,DVA,,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,Economic and Public Affairs Management,,,,No,,06/26/2012,,,,,Sovereign,,,,"DVA-collaborative, as of 02 July no confirmation of commitment yet",,2872
1996,JICA,Japan,2013,2013.0,,2990/2991,43281-013,,,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,,,,,0.0,,184.0,,184.0,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,02/21/2013,,,,,Sovereign,,,,,,2990
1999,JICA,Japan,2013,2013.0,,3025/3026,44458-013,,,UZB,Amu Bukhara Irrigation System Rehabilitation,CWRD,CWER,09/25/2013,,,,,0.0,,100.0,,100.0,DVA,,Collaborative,Bilateral,Loan,,3000.0,Agriculture and Natural Resources,,"Irrigation, Drainage, and Flood Protection",,,,No,,09/25/2013,,,,,Sovereign,,,,,,3025
2002,JICA,Japan,2013,2013.0,3045 (CL),3045/3046,42180-013,,,BAN,Second Public-Private Infrastructure Development Facility,SARD,SAPF,10/17/2013,,,,,0.0,,96.0,,96.0,DVA,Others,Collaborative,Bilateral,Loan,,3300.0,Finance,,,,,,No,,10/17/2013,,,,,Sovereign,,,,,,3045
2005,JICA,Japan,2013,2013.0,3068 (CL),3068,46093-004,,,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,,,,,0.0,,200.0,,200.0,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Transport Management and Policies,,,,No,,11/27/2013,,,,,Sovereign,,,,,,3068
2011,JICA,"Japan,JICA",2014,2014.0,3126 (CL),3126,47015-001,,,PAK,Sustainable Energy Sector Reform Program ﾖ Subprogram 1 (additional),CWRD,CWEN,06/04/2014,,,,,0.0,,49.0,,49.0,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Energy Sector Development,06/04/2014,,,Yes,,06/04/2014,,,,,Sovereign,,,,,,3126
2013,JICA,Japan,2015,2015.0,,3186,46268-002,,,IND,Clean Energy Finance Investment ProgramﾗTranche 1 ,SARD,SAPF,01/16/2015,,,,,0.0,,280.0,,280.0,DVA,PS,Collaborative,Bilateral,Loan,,3300.0,Finance,,Infrastructure Finance and Investment Funds,01/16/2015,,,Yes,,01/16/2015,,,,,Sovereign,,,,,,3186
