,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
206,"Australia,Australia",2015,2686/0226/0425,2686,44304-014,Microfinance Expansion ﾗ Additional Financing
207,"Australia,Australia",2015,2686/0226/0425,0226,44304-014,Microfinance Expansion ﾗ Additional Financing
208,"Australia,Australia",2015,2686/0226/0425,0425,44304-014,Microfinance Expansion ﾗ Additional Financing
209,"Australia,Australia",2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
210,"Australia,Australia",2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
211,"Australia,Australia",2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
212,"Australia,Australia",2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
253,Canada,2011,2761,2761,42122-013,Third Primary Education Development
254,Canada,2013,2928/0343,2928,42099-013,Polytechnic Education Development
255,Canada,2013,2928/0343,0343,42099-013,Polytechnic Education Development
256,Canada,2014,3130/7407/8281,3130,47919-014,Adjaristsqali Hydropower
257,Canada,2014,3130/7407/8281,7407,47919-014,Adjaristsqali Hydropower
258,Canada,2014,3130/7407/8281,8281,47919-014,Adjaristsqali Hydropower
277,CEF-CEFPF,2012,0303/2892/2893,0303,43576-013,Clean Energy and Network Efficiency Improvement
278,CEF-CEFPF,2012,0303/2892/2893,2892,43576-013,Clean Energy and Network Efficiency Improvement
279,CEF-CEFPF,2012,0303/2892/2893,2893,43576-013,Clean Energy and Network Efficiency Improvement
280,CEF-CEFPF,2013,0370/0371/0373,0370,46044-002,Renewable Energy Development and Power Sector Rehabilitation
281,CEF-CEFPF,2013,0370/0371/0373,0371,46044-002,Renewable Energy Development and Power Sector Rehabilitation
282,CEF-CEFPF,2013,0370/0371/0373,0373,46044-002,Renewable Energy Development and Power Sector Rehabilitation
283,CEF-CEFPF,2013,3015/0354/8272,3015,41074-013, West Kalimantan Power Grid Strengthening
284,CEF-CEFPF,2013,3015/0354/8272,0354,41074-013, West Kalimantan Power Grid Strengthening
285,CEF-CEFPF,2013,3015/0354/8272,8272,41074-013, West Kalimantan Power Grid Strengthening
286,CEF-CEFPF,2014,2517/0384,2517,42182-013,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing
287,CEF-CEFPF,2014,2517/0384,0384,42182-013,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing
288,CEF-CEFPF,2015,2979/8264/0468,2979,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
289,CEF-CEFPF,2015,2979/8264/0468,8264,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
290,CEF-CEFPF,2015,2979/8264/0468,0468,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
291,CEF-CEFPF,2015,3309/0452/0453,3309,46535-001,Strengthening Technical and Vocational Education and Training
292,CEF-CEFPF,2015,3309/0452/0453,0452,46535-001,Strengthening Technical and Vocational Education and Training
293,CEF-CEFPF,2015,3309/0452/0453,0453,46535-001,Strengthening Technical and Vocational Education and Training
300,CTF,2012,2964/0326/8261,2964,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
301,CTF,2012,2964/0326/8261,0326,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
302,CTF,2012,2964/0326/8261,8261,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
303,CTF,2012,2964/0326/8261,2964,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
304,CTF,2012,2964/0326/8261,0326,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
305,CTF,2012,2964/0326/8261,8261,43207-013,Market Transformation through Introduction of Energy-Efficient Electric Vehicles
309,CTF,2013,3052/8275,3052,45224-003,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1
310,CTF,2013,3052/8275,8275,45224-003,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1
314,CTF,2014,3113/8279,3113,45200-002,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2
315,CTF,2014,3113/8279,8279,45200-002,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2
316,CTF,2014,3219/7435/8289,3219,48233-001,Subyai Wind Power
317,CTF,2014,3219/7435/8289,7435,48233-001,Subyai Wind Power
318,CTF,2014,3219/7435/8289,8289,48233-001,Subyai Wind Power
319,CTF,2014,3235/8291,3235,40080-024,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3
320,CTF,2014,3235/8291,8291,40080-024,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3
321,CTF,2014,7409/8283,7409,47937-001,Rantau Dedap Geothermal Development (Phase 1)
322,CTF,2014,7409/8283,8283,47937-001,Rantau Dedap Geothermal Development (Phase 1)
323,CTF,2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3
324,CTF,2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3
325,CTF,2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3
326,CTF,2015,3366/8301,3366,49263-001,Northeastern Thailand Wind Power
327,CTF,2015,3366/8301,8301,49263-001,Northeastern Thailand Wind Power
328,CTF,2015,8298,8298,49238-001,Off-Grid Prepaid Solar Leasing
354,Denmark,2011,G0272/0289,G0272,35174-082,School Sector Program
355,Denmark,2011,G0272/0289,0289,35174-082,School Sector Program
356,Denmark,2015,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
357,Denmark,2015,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
358,Denmark,2015,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
359,Denmark,2015,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
360,Denmark,2015,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
361,"U.K.,DFID",2015,3134/0451,3134,47281-001,National Highway Network Development in Balochistan
362,"U.K.,DFID",2015,3134/0451,0451,47281-001,National Highway Network Development in Balochistan
363,"France,DGT",2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3
364,"France,DGT",2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3
365,"France,DGT",2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3
369,EBRD,2012,2916,2916,46145-001,CAREC Corridor 3 (Shymkent-Tashkent Section) [Link to the Western Europe-Western People's Republic of China International Transit Corridor] Road Improvement
370,EBRD,2014,3150,3150,46416-002,Power Transmission Rehabilitation
371,EBRD,2014,3150,3150,46416-002,Power Transmission Rehabilitation
376,EC,1978,0387,0387,43072-013,Integrated Rural Development
418,EC,2008,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector)
419,EC,2008,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector)
420,EC,2008,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector)
427,EC,2011,2761,2761,42122-013,Third Primary Education Development
