Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
Canada,1981,,541,,BAN,Chittagong Urea Fertilizer,SARD,BRM,11/01/1981,20,Non-DVA,,,Bilateral,Loan,Industry and Trade,Sovereign
Canada,1982,,601,,PAK,Tarbela Hydropower Extension (Units 9 and 10),CWRD,,11/23/1982,17,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
Canada,1983,,623,,THA,Mineral Resources Development,SERD,SERD,04/14/1983,7.07,Non-DVA,,,Bilateral,Grant,Industry and Trade,Sovereign
Canada,1984,,700,17055,PAK,Left Bank Outfall Drain (Stage I),CWRD,SAAE,10/25/1984,37.2,Non-DVA,,,Bilateral,Loan,Agriculture and Natural Resources,Sovereign
Canada,1984,,701,,PAK,Tarbela Hydropower Extension (Units 11 and 12),CWRD,,11/01/1984,17.41,Non-DVA,,,Bilateral,Loan,Energy,Non-Sovereign
Canada,1987,,869,,PAK,Oil and Gas Development,CWRD,,12/03/1987,0.2,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
Canada,1988,,888,,SRI,Emergency Schools Restoration,SARD,,06/30/1988,4,Non-DVA,PS,,Bilateral,Grant,Education,Sovereign
Canada,1998,,1609,,NEP,Community Groundwater Irrigation Sector,SARD,SAAE,11/01/1998,2.8,Non-DVA,PS,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
Canada,2003,4209(L),2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,20,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
Canada,2004,4559,2101/4559 (L),26061,BAN,Teaching Quality Improvement for Secondary Education,SARD,SASS,11/09/2004,18,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
Canada,2004,,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,5,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
