,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
71,Australia,2010,209,2642/2643/0209,40354,VIE,Health Human Resources Sector Development Program,SERD,,06/22/2010,11.0,DVA,,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
72,Australia,2010,210,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (Supplementary),PARD,,05/20/2010,0.28,DVA,,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
73,Australia,2010,226,2686/0226/0425,44304-014,PNG,Microfinance Expansion,PARD,,10/28/2010,6.0,DVA,,Full Administration,Bilateral,Grant,Finance,Sovereign
74,Australia,2010,,243,,SOL,Transport Sector Development,PARD,,12/15/2010,30.0,DVA,,Collaborative,Bilateral,Grant,Transport and ICT,Sovereign
75,Australia,2011,177,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (2nd Supplementary),PARD,,06/08/2011,4.04,DVA,CFA/TF,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
76,Australia,2011,259,2785/0259/8274,41509,PNG,Rural Primary Health Services Delivery,PARD,PAUS,09/30/2011,40.0,DVA,,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
77,Australia,2011,263,2795/0263/0387,43072-013,KIR,South Tarawa Sanitation Improvement Sector,PARD,PAUS,10/17/2011,13.95,DVA,,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
78,Australia,2011,265,G0264-0265,4239402,TON,Nuku'alofa Urban Sector Development,PARD,PAUS,10/17/2011,6.44,DVA,,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
79,Australia,2011,0272 (CG),G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,15.6,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
80,Australia,2011,275,2832/G0275-76,42391,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,26.5,DVA,,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
81,Australia,2011,276,2832/G0275-76,42391,VAN,Port Vila Urban Development,PARD,PAUS,12/13/2011,4.5,DVA,CFA/TF,Full Administration,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
82,Australia,2011,2761 (CG),2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,35.0,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
83,Australia,2012,187,2288/2602/0187,37269-023,CAM,Greater Mekong Subregion: Rehabilitation of the Railway in Cambodia (2nd Supplementary),SERD,SETC,01/12/2012,0.96,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
84,Australia,2012,210,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector) (3rd Supplementary),PARD,PAOD,03/15/2012,2.14,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
85,Australia,2012,285,2852/3125/0285,46009-003,CAM,Flood Damage Emergency Reconstruction,SERD,CARM,03/27/2012,5.25,DVA,PS,Full Administration,Bilateral,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
86,Australia,2012,289,G0272/0289,35174-082,NEP,School Sector Program (Supplementary),SARD,SAHS,03/28/2012,3.47,DVA,PS,Full Administration,Bilateral,Grant,Education,Sovereign
87,Australia,2012,292,0127/0292/0293,40263-033,SOL,Domestic Maritime Support (Sector) (Supplementary),PARD,PLCO,05/23/2012,4.3,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
88,Australia,2013,336,336,45303-001,CAM,Rural Energy,SERD,SEEN,01/15/2013,6.11,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
89,Australia,2013,337,2372/0095/2988/0337,36353-013,VIE,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,SERD,SETC,02/11/2013,12.43,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
90,Australia,2013,348,0347/0348/0444/0445/0446,43452-023,TON,Outer Island Renewable Energy,PARD,PATE,06/27/2013,4.5,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
91,Australia,2013,353,3013/0353,40255-033,VIE,Central Mekong Delta Region Connectivity ,SERD,SETC,08/05/2013,134.0,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
92,Australia,2014,3123 (CG),3123/8280,47315,INO,Metropolitan Sanitation Management Investment,SERD,SEUW,03/31/2014,48.83,DVA,PS,Collaborative,Bilateral,Grant,Water and Other Municipal Infrastructure and Services,Sovereign
93,Australia,2015,439,0438/0439,46346-002,RMI,Ebeye Water Supply and Sanitation,PARD,PAUS,09/28/2015,4.0,DVA,PS,Full Administration,Bilateral,Grant,Water and Other Urban Infrastructure and Services,Sovereign
94,Australia,2015,443,0414/0424/0443,46455-004,NAU,Electricity Supply Security and SustainabilityﾗAdditional Financing,PARD,PLCO,10/16/2015,4.74,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
95,Australia,2015,,442,47318-001,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,1.1,DVA,PS,Collaborative,Bilateral,Grant,Public Sector Management,Sovereign
96,"Australia,Australia",2012,0049(L),0049/50,39581-012,SOL,Road Improvement (Sector) (3rd Supplementary),PARD,PLCO,11/27/2012,0.74,DVA,PS,Full Administration,Bilateral,Grant,Transport and ICT,Sovereign
97,"Australia,Australia",2012,317,2936-2937/G0316-0317,40190-023,VIE,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation,SERD,SEER,11/06/2012,5.89,DVA,,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
98,"Australia,Australia",2014,285,2852/3125/0285,46009-003,CAM,Flood Damage Emergency Reconstruction ﾖ Additional Financing,SERD,CARM,04/11/2014,6.68,DVA,PS,Full Administration,Bilateral,Grant,"Agriculture, Natural Resources and Rural Development",Sovereign
99,"Australia,Australia",2014,402,3151/401/402/466/467/8299/8300,42334-014,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,6.67,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
100,"Australia,Australia",2015,336,336,45303-001,CAM,Rural EnergyﾗAdditional Financing,SERD,SEEN,08/07/2015,0.36,DVA,PS,Full Administration,Bilateral,Grant,Energy,Sovereign
101,"Australia,Australia",2015,425,2686/0226/0425,44304-014,PNG,Microfinance Expansion ﾗ Additional Financing,PARD,PLCO,02/09/2015,2.85,DVA,PS,Full Administration,Bilateral,Grant,Finance,Sovereign
102,"Australia,Australia",2015,466,3151/401-2/466-7/8299-300,42334-014,CAM,Rural Roads Improvement IIﾗAdditional Financing,SERD,SETC,12/08/2015,11.85,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
103,"Australia,Australia",2015,,458,47320-001,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,1.5,DVA,PS,Collaborative,Bilateral,Grant,Information and Communication Technology,Sovereign
104,"Australia,Australia",2016,,0473/0474,48478,NAU,Fiscal Sustainability Reform Program,PARD,PLCO,04/28/2016,1.8,DVA,PS,Full Administration,Bilateral,Grant,Public Sector Management,Sovereign
106,Belgium,1973,,0168-169,,PAK,Mangla Hydropower,CWRD,,12/17/1973,7.6,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
107,Belgium,1986,,824,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,7.1,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
