,Cofinancier,Approval Year,Product Approval Number,Approval Numbers,Proj No,Country Mnemomic,Project Title,Department,Division,ApprovalDate,TotalCofinancing,CofinancingType,AgreementType,AdministrativeArrangement,SourceClassification,Type,Sector,Sov-NonSov
143,CEF-CEFPF,2012,303,0303/2892/2893,43576-013,SRI,Clean Energy and Network Efficiency Improvement,SARD,SAEN,09/18/2012,1.5,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
144,CEF-CEFPF,2013,354,3015/0354/8272,41074-013,INO, West Kalimantan Power Grid Strengthening,SERD,SEEN,08/27/2013,2.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
145,CEF-CEFPF,2013,371,0370/0371/0373,46044-002,SAM,Renewable Energy Development and Power Sector Rehabilitation,PARD,PATE,11/15/2013,1.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
146,CEF-CEFPF,2014,384,2517/0384,42182-013,VIE,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector ﾖ Additional Financing,SERD,SEEN,04/09/2014,3.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
147,CEF-CEFPF,2015,453,3309/0452/0453,46535-001,TAJ,Strengthening Technical and Vocational Education and Training,CWRD,CWPF,11/09/2015,2.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Education,Sovereign
148,CEF-CEFPF,2015,468,2979/8264/0468,42361-014,CAM,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing,SERD,SEEN,12/09/2015,1.0,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,Energy,Sovereign
150,"Canada,CEFPF-CCFPSA",2013,8278,3089/8277/8278,42916,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,20.0,DVA,CFA/TF,Full Administration,Bilateral,Loan,Energy,Non-Sovereign
151,"Canada,CEFPF-CCFPSA",2014,8281,3130/7407/8281,47919-014,GEO,Adjaristsqali Hydropower,PSOD,PSIF1,05/19/2014,15.0,DVA,CFA/TF,Full Administration,Bilateral,Loan,Energy,Non-Sovereign
153,"P.R.C.,China Construction Bank",2015,,3308,47051-002,PRC,Chemical Industry Energy Efficiency and Emission Reduction,EARD,EAOD,10/30/2015,81.73,DVA,PS,Collaborative,Bilateral,Loan,Energy,Sovereign
155,Cities Alliance,No Approval Date,,2063,32499,PHI,Development of Poor Urban Communities Sector,SERD,SESS,,0.9,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
157,CTF,2012,326,2964/0326/8261,43207-013,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,SERD,SEEN,12/11/2012,5.0,DVA,PS,Full Administration,Global Fund,Grant,Transport and ICT,Sovereign
158,CTF,2012,8261,2964/0326/8261,43207-013,PHI,Market Transformation through Introduction of Energy-Efficient Electric Vehicles,SERD,SEEN,12/11/2012,100.0,DVA,PS,Full Administration,Global Fund,Loan,Transport and ICT,Sovereign
159,CTF,2012,,2875/7356/8256,45923-01,THA,Provincial Solar Power,PSOD,PSIF2,06/25/2012,15.0,DVA,,Full Administration,Global Fund,Loan,Energy,Non-Sovereign
160,CTF,2012,,2945/7376/CF8260,45924-01,THA,Theppana Wind Power,PSOD,PSIF2,11/20/2012,4.0,DVA,CFA/TF,Full Administration,Global Fund,Loan,Energy,Non-Sovereign
161,CTF,2013,8275,3052/8275,45224-003,IND,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1,SARD,SAEN,10/22/2013,88.0,DVA,CFA/TF,Full Administration,Global Fund,Loan,Energy,Sovereign
162,CTF,2013,8277,3089/8277/8278,42916,INO,Sarulla Geothermal Power Development,PSOD,PSIF2,12/05/2013,80.0,DVA,CFA/TF,Full Administration,Global Fund,Loan,Energy,Non-Sovereign
163,CTF,2013,,2992/8268/7384,46934-01,THA,Central Thailand Solar Power,PSOD,PSIF2,02/28/2013,35.0,DVA,,Full Administration,Global Fund,Loan,Energy,Non-Sovereign
164,CTF,2014,8279,3113/8279,45200-002,VIE,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2,SERD,SETC,02/20/2014,48.95,DVA,CFA/TF,Full Administration,Global Fund,Loan,Transport and ICT,Sovereign
165,CTF,2014,8283,7409/8283,47937-001,INO,Rantau Dedap Geothermal Development (Phase 1),PSOD,PSIF2,06/26/2014,50.0,DVA,PS,Full Administration,Global Fund,Loan,Energy,Non-Sovereign
166,CTF,2014,8289,3219/7435/8289,48233-001,THA,Subyai Wind Power,PSOD,PSIF2,12/04/2014,30.0,DVA,PS,Full Administration,Global Fund,Loan,Energy,Sovereign
167,CTF,2014,8291,3235/8291,40080-024,VIE,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3,SERD,SETC,12/12/2014,48.95,DVA,PS,Full Administration,Global Fund,Loan,Transport,Sovereign
168,CTF,2015,8298,8298,49238-001,IND,Off-Grid Prepaid Solar Leasing,PSOD,PSIF1,12/01/2015,6.0,DVA,PS,Full Administration,Global Fund,Loan,Energy,Sovereign
169,CTF,2015,8301,3366/8301,49263-001,THA,Northeastern Thailand Wind Power,PSOD,PSIF2,12/08/2015,18.9,DVA,PS,Full Administration,Global Fund,Loan,Energy,Sovereign
170,CTF,2015,8302,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,50.0,DVA,PS,Full Administration,Global Fund,Loan,Transport,Sovereign
172,Czechoslovakia,1986,,824,,PAK,WAPDA Tenth Power (Sector),CWRD,,12/18/1986,46.0,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
174,Denmark,1984,,722,,BHU,Second Multiproject,SARD,,12/13/1984,1.45,Non-DVA,,,Bilateral,Loan,Multisector,Sovereign
175,Denmark,1987,,829,,BHU,Urban Centers Sewerage,SARD,,02/03/1987,2.15,Non-DVA,,,Bilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
176,Denmark,1994,,1334,,MON,Power Rehabilitation,EARD,,11/24/1994,5.0,Non-DVA,,,Bilateral,Grant,Energy,Sovereign
177,Denmark,1996,,1443,,KGZ,Power & District Heating Rehab.,CWRD,,06/06/1996,8.2,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
178,Denmark,1997,,1524,,BAN,Participatory Livestock,SARD,SAAE,06/19/1997,11.2,Non-DVA,PS,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
179,Denmark,1997,,1532,,MLD,Third Power Systems Development,SARD,SAEN,09/01/1997,4.72,Non-DVA,,,Bilateral,Loan,Energy,Sovereign
180,Denmark,2000,,1746,,PHI,Pasig River Environmental Management and Rehabilitation SDP (Investment Loan),SERD,,07/20/2000,2.2,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
181,Denmark,2001,3712 (L),1835/3712(L),33165,PRC,Yellow River Flood Management Sector,EARD,AEFN,08/28/2001,0.3,DVA,,Full Administration,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
182,Denmark,2002,3923(L),1840/3923(L),32236,NEP,Teacher Education,SARD,NRM,09/09/2002,0.3,DVA,,Full Administration,Bilateral,Grant,Education,Sovereign
183,Denmark,2002,3927(L),1917/3927(L),34022,NEP,Secondary Education Support,SARD,SASS,09/20/2002,23.7,DVA,,Full Administration,Bilateral,Grant,Education,Sovereign
184,Denmark,2002,,19173927(L),34022,NEP,Secondary Education Support,SARD,,09/20/2002,6.3,Non-DVA,,,Bilateral,Grant,Education,Sovereign
185,Denmark,2003,,2070,35228-01,BAN,Second Participatory Livestock Development,SARD,SAAE,12/19/2003,0.5,Non-DVA,,,Bilateral,Grant,Agriculture and Natural Resources,Sovereign
186,Denmark,2004,,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,10.0,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
187,Denmark,2005,,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,10.8,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
188,Denmark,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,10.4,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
189,Denmark,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,11.0,Non-DVA,,,Bilateral,Grant,Multisector,Sovereign
190,Denmark,2008,,0118/0206,,NEP,Governance Support Program Cluster (Subprogram 1),SARD,SAGF,10/22/2008,12.0,Non-DVA,,,Bilateral,Grant,Public Sector Management,Sovereign
191,Denmark,2011,0272 (CG),G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,17.9,DVA,,Collaborative,Bilateral,Grant,Education,Sovereign
192,Denmark,2011,282,0280/0281/0282,42094,AFG,Energy Sector Development Investment Program ﾖ Tranche 3,CWRD,CWEN,12/22/2011,12.4,DVA,,Full Administration,Bilateral,Grant,Energy,Sovereign
193,Denmark,2015,446,0347/0348/0444/0445/0446,43452-023,TON,Outer Island Renewable EnergyﾗAdditional Financing,PARD,PATE,10/20/2015,0.75,DVA,CFA/TF,Full Administration,Bilateral,Grant,Energy,Sovereign
195,"U.K.,DFID",2014,406,9135/0277/0382/0406,38097-013,NEP,Establishing Women and Children Service Centers ﾖ Additional Financing,SARD,SAHS,03/25/2014,3.2,DVA,PS,Full Administration,Bilateral,Grant,Health and Social Protection,Sovereign
196,"U.K.,DFID",2015,451,3134/0451,47281-001,PAK,National Highway Network Development in Balochistan,CWRD,CWTC,11/03/2015,72.4,DVA,PS,Full Administration,Bilateral,Grant,Transport,Sovereign
198,"France,DGT",2015,3363/3364,3363/3364/8302,40080-025,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,93.5,DVA,PS,Collaborative,Bilateral,Loan,Transport,Sovereign
200,EBRD,2000,,1774-1775,,REG,Almaty-Bishkek Regional Road Rehabilitation (KAZ and KGZ Components),CWRD,CWID,10/31/2000,28.5,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
201,EBRD,2009,,2562,41121-02,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,180.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
202,EBRD,2010,,2620,,ARM,Zvartnots Airport Expansion Project (Phase 2),PSOD,PSIF,03/26/2010,40.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Non-Sovereign
203,EBRD,2012,,2916,46145-001,KAZ,CAREC Corridor 3 (Shymkent-Tashkent Section) [Link to the Western Europe-Western People's Republic of China International Transit Corridor] Road Improvement,CWRD,CWTC,10/05/2012,196.5,DVA,PS,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
204,EBRD,2014,3150 (CG),3150,46416-002,ARM,Power Transmission Rehabilitation,CWRD,CWEN,07/31/2014,10.89,DVA,PS,Collaborative,Multilateral,Grant,Energy,Sovereign
205,EBRD,2014,3150 (CL),3150,46416-002,ARM,Power Transmission Rehabilitation,CWRD,CWEN,07/31/2014,19.11,DVA,PS,Collaborative,Multilateral,Loan,Energy,Sovereign
207,EC,1977,,322,,AFG,Fertilizer and Agrochemical Storage,CWRD,CWID,11/29/1977,1.12,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
208,EC,1977,,330,,PAK,Chashma Right Bank Irrigation,CWRD,SAAE,12/15/1977,4.48,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
209,EC,1978,,339,,MYA,Second Fisheries Development,SERD,,02/06/1978,1.12,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
210,EC,1978,,367,,THA,Aquaculture Development,SERD,SEAE,11/27/1978,1.01,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
211,EC,1978,,387,43072-013,NEP,Integrated Rural Development,SARD,SAAE,12/20/1978,3.75,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
212,EC,1978,,0389/8030,48192,INO,South-East Sulawesi Transmigration and  Area Development,SERD,,12/22/1978,5.99,DVA,,Full Administration,Multilateral,Grant,Multisector,Sovereign
213,EC,1979,,396,,BAN,Ashuganj Fertilizer (Supplementary),SARD,BRM,04/26/1979,3.0,Non-DVA,,,Multilateral,Loan,Industry and Trade,Sovereign
214,EC,1979,,417,,PHI,Bicol River Basin Irrigation,SERD,,10/25/1979,6.2,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
215,EC,1979,,434,,INO,Tulungagung Drainage,SERD,,12/06/1979,8.5,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
216,EC,1979,,439,,PAK,Baluchistan Livestock Development,CWRD,SAAE,12/12/1979,8.7,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
217,EC,1979,,445,,NEP,Livestock Development,SARD,SAAE,12/19/1979,3.08,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
218,EC,1980,,479,,INO,Lower Citanduy Irrigation,SERD,SEAE,11/13/1980,4.9,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
219,EC,1980,,494,,PAK,Second Marine Fisheries Development,CWRD,,12/11/1980,12.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
220,EC,1980,,505,,PAK,Load Despatch and Transmission,CWRD,,12/22/1980,35.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
221,EC,1981,,515,,MYA,Pump Irrigation and Area Development,SERD,,06/23/1981,6.0,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
222,EC,1981,,522,,INO,Bali Irrigation Sector,SERD,SEAE,09/17/1981,12.5,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
223,EC,1981,,529,,PHI,Palawan Integrated Area Development,SERD,,09/29/1981,7.0,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
224,EC,1981,,558,,BAN,Small-Scale Irrigation (Sector Loan),SARD,SAAE,12/10/1981,12.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
225,EC,1982,,593,,BAN,Bhola Irrigation,SARD,SAAE,11/04/1982,2.8,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
226,EC,1983,,664,,THA,Agricultural Credit,SERD,SERD,12/06/1983,17.0,Non-DVA,,,Multilateral,Loan,Agriculture and Natural Resources,Sovereign
227,EC,1986,,813,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,4.75,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
228,EC,1990,,1034,,PHI,Second Palawan Integrated Area Development,SERD,,09/27/1990,9.9,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
229,EC,1993,,1228,,SAM,Afulilo Hydroelectric (Supplementary),PARD,,04/22/1993,1.6,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
230,EC,1994,,1331,,PHI,Women's Health & Safe Motherhood,SERD,SESS,11/10/1994,13.0,Non-DVA,,,Multilateral,Grant,Health and Social Protection,Sovereign
231,EC,1996,,1493,,PAK,Social Action Program (Sector) Project II,CWRD,,11/28/1996,50.0,Non-DVA,,,Multilateral,Loan,Multisector,Sovereign
232,EC,2003,4209(L),2015/4209(L),30216,BAN,Second Primary Education Development Program (Sector Loan),SARD,SASS,11/03/2003,100.0,DVA,PS,Full Administration,Multilateral,Grant,Education,Sovereign
233,EC,2004,,2123,,VIE,Support to Implementation of Poverty Reduction Program,SERD,VRM,12/09/2004,18.0,Non-DVA,,,Multilateral,Grant,Public Sector Management,Sovereign
234,EC,2005,11,2167/0006/0011/0045/8221,39144,SRI,Tsunami-Affected Areas Rebuilding Project,SARD,SLRM,04/14/2005,53.2,DVA,PS,Full Administration,Multilateral,Grant,Multisector,Sovereign
235,EC,2005,37,2213/0029/0037,39631,PAK,Earthquake Emergency Assistance,CWRD,PRM,12/13/2005,37.5,DVA,,Full Administration,Multilateral,Grant,Multisector,Sovereign
236,EC,2005,,2194,,VIE,Support to Implementation on Poverty Reduction Program II,SERD,VRM,11/03/2005,9.8,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
237,EC,2006,,2262,,VIE,Support the Implementation of Poverty Reduction Program III,SERD,VRM,10/05/2006,11.6,Non-DVA,,,Multilateral,Grant,Multisector,Sovereign
238,EC,2007,11,2167/0006/0011/0045/8221,39144,SRI,Tsunami-Affected Areas Rebuilding Project (Supplementary),SARD,,06/19/2007,16.0,DVA,,Full Administration,Multilateral,Grant,Multisector,Sovereign
239,EC,2007,78,78,,SOL,Emergency Assistance,PARD,PAHQ,06/27/2007,4.0,DVA,,Full Administration,Multilateral,Grant,Multisector,Sovereign
240,EC,2007,,2352,,VIE,Support the Implementation of Poverty Reduction Program IV,SERD,VRM,10/02/2007,27.0,Non-DVA,PS,,Multilateral,Grant,Multisector,Sovereign
241,EC,2008,127,0127/0292/0293,40263-033,SOL,Domestic Maritime Support (Sector),PARD,PAHQ,11/25/2008,4.65,DVA,PS,Full Administration,Multilateral,Grant,Transport,Sovereign
242,EC,2009,78,78,,SOL,Emergency Assistance (Supplementary),PARD,PAHQ,08/27/2009,4.04,DVA,PS,Full Administration,Multilateral,Grant,Multisector,Sovereign
243,EC,2009,176,0175/0176/0177/0207/0210,43381,SOL,Second Road Improvement (Sector),PARD,,11/12/2009,3.34,DVA,,Full Administration,Multilateral,Grant,Transport and ICT,Sovereign
244,EC,2011,0272 (CG),G0272/0289,35174-082,NEP,School Sector Program,SARD,NRM,11/22/2011,47.9,DVA,,Collaborative,Multilateral,Grant,Education,Sovereign
245,EC,2011,2761 (CG),2761,42122-013,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,70.0,DVA,,Collaborative,Multilateral,Grant,Education,Sovereign
246,EC,2014,415,3193/0415,46453-002,COO,Renewable Energy Sector,PARD,PATE,11/21/2014,7.26,DVA,PS,Full Administration,Multilateral,Grant,Energy,Sovereign
247,EC,2014,423,0422/0423,44482-025,AFG,Transport Network Development Investment Program ﾖ Tranche 4,CWRD,CWTC,12/15/2014,21.0,DVA,PS,Full Administration,Multilateral,Grant,Transport,Sovereign
248,EC,2014,424,0414/0424/0443,46455-004,NAU,Electricity Supply Security and Sustainability,PARD,PATE,11/07/2014,2.7,DVA,PS,Full Administration,Multilateral,Grant,Energy,Sovereign
249,EC,2015,445,0347/0348/0444/0445/0446,43452-023,TON,Outer Island Renewable EnergyﾗAdditional Financing,PARD,PATE,10/20/2015,3.57,DVA,PS,Full Administration,Multilateral,Grant,Energy,Sovereign
250,EC,2015,456,0456/0457,46044-003,SAM,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing,PARD,PATE,11/18/2015,5.06,DVA,PS,Full Administration,Multilateral,Grant,Energy,Sovereign
251,EC,2015,,3256,42122-013,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,55.48,DVA,PS,Collaborative,Multilateral,Grant,Education,Sovereign
253,EDB,2013,,3056/0366,45169-001,KGZ,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",CWRD,CWTC,11/05/2013,60.0,DVA,FW,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
254,EDB,2014,,3212/0419/8306,46348-003,KGZ,Toktogul Rehabilitation Phase 2,CWRD,CWEN,12/02/2014,100.0,DVA,PS,Partial Administration,Multilateral,Loan,Energy,Sovereign
255,EDB,2015,,2993,42145-043,ARM,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing,CWRD,CWTC,04/16/2015,150.0,DVA,FW,Collaborative,Multilateral,Loan,Transport,Sovereign
257,EIB,1978,,345,,FIJ,Second Power,PARD,PARD,06/29/1978,14.8,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
258,EIB,1981,,536,,FIJ,Third Power,PARD,,11/10/1981,13.3,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
259,EIB,1986,,813,,SAM,Afulilo Hydroelectric,PARD,,12/14/1986,2.54,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
260,EIB,1993,,1276,26347,THA,Second Erawan Gas Transmission,SERD,SEEN,12/02/1993,35.6,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
261,EIB,1994,,1333,,PHI,Airport Development,SERD,SEID,11/24/1994,23.19,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
262,EIB,1995,,1357,,INO,Gas Transmission and Distribution,SERD,SEID,06/08/1995,125.25,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
263,EIB,1995,,1419,,PRC,Ping Hu Oil and Gas Development,EARD,EAEN,12/21/1995,59.82,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
264,EIB,1996,,1424,,PAK,Ghazi-Barotha Hydropower,CWRD,SAEN,01/18/1996,60.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
265,EIB,1997,,1597,,BAN,Lafarge Surma Cement Ltd,PSOD,,12/18/1997,22.5,Non-DVA,,,Multilateral,Loan,Industry and Trade,Non-Sovereign
266,EIB,1999,,1669,,PRC,Chengdu Generale Des Eaux-Marubeni Waterworks Company Limited,PSOD,,02/11/1999,26.5,Non-DVA,,,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Non-Sovereign
267,EIB,2001,,1851,,PRC,Guangxi Roads Development,EARD,,10/30/2001,50.0,Non-DVA,,,Multilateral,Loan,Transport and ICT,Sovereign
268,EIB,2005,,2162,37734,LAO,GMS: Nam Theun 2 Hydroelectric,SERD,SEID,04/04/2005,52.0,Non-DVA,,,Multilateral,Loan,Energy,Sovereign
269,EIB,2008,,2476,,IND,Rural Electrification of India,SARD,SAGF,11/27/2008,100.0,Non-DVA,,,Multilateral,Loan,Energy,Non-Sovereign
270,EIB,2011,,2741,40080-013,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,95.0,DVA,,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
271,EIB,2012,320,2966/0320,42378-015,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,7.0,DVA,PS,Collaborative,Multilateral,Grant,Energy,Sovereign
272,EIB,2012,2966 (CL),2966/0320,42378-015,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,91.0,DVA,,Collaborative,Multilateral,Loan,Energy,Sovereign
273,EIB,2012,,2956,39500-033,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,195.0,DVA,PS,Collaborative,Multilateral,Loan,Transport and ICT,Sovereign
274,EIB,2013,2993 (CL),2993,42145-043,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,79.2,DVA,PS,Collaborative,Multilateral,Loan,Transport,Sovereign
275,EIB,2013,3051 (CL),3051/8292,42173-013,BAN,Dhaka Environmentally Sustainable Water Supply,SARD,SAUW,10/22/2013,136.0,DVA,PS,Collaborative,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
276,EIB,2013,,2990/2991,43281-013,NEP,Tanahu Hydropower,SARD,SAEN,02/21/2013,70.0,DVA,PS,Collaborative,Multilateral,Loan,Energy,Sovereign
277,EIB,2013,,3098/3099/0380,45007-004,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1,EARD,EASS,12/12/2013,28.38,DVA,FW,Collaborative,Multilateral,Loan,Water and Other Municipal Infrastructure and Services,Sovereign
