,Donor,Unnamed: 1,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications
2735,MDTF-WFPF,MDTF-WFPF,2009,2009,0190,2606,42383-023,,,PRC,Shanxi Small Cities and Towns Development Demonstration Sector,EARD,,12/18/2009,,,,,0.00,0.25,,,0.25,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3000.0,"Agriculture, Natural Resources and Rural Development",,,,,,,,12/18/2009,09/09/2010,,,,Sovereign,,,,,
2737,Asian Development Bank,"GDCF,MDTF-WFPF",2009,2009,,2607/0188/0189,38662,,,PRC,Shanxi Integrated Agricultural Development,EARD,,12/16/2009,100.00,0.00,0.00,,100.00,,,,,,,,,,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
2738,MDTF-WFPF,MDTF-WFPF,2009,2009,0188,2607/0188/0189,38662,,,PRC,Shanxi Integrated Agricultural Development,EARD,,12/16/2009,,,,,0.00,0.50,,,0.50,DVA,,Full Administration,Multi-Donor Trust Fund,Grant,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,12/16/2009,,,,,Sovereign,,,,,
2740,Asian Development Bank,MDTF-WFPF,2014,2014,,2795/0263/0387,43072-013,,,KIR,South Tarawa Sanitation Improvement Sector – Additional Financing,PARD,PAUS,05/14/2014,,,,,0.00,,,,,,,,,,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817","Urban Water Supply,Urban Sanitation",,,,,,,,,,,,,,,,
2741,MDTF-WFPF,MDTF-WFPF,2014,2014,0387,2795/0263/0387,43072-013,,,KIR,South Tarawa Sanitation Improvement Sector – Additional Financing,PARD,PAUS,05/14/2014,,,,,0.00,0.61,,,0.61,DVA,CFA/TF,Full Administration,Multi-Donor Trust Fund,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,3801,Water Supply and Sanitation,11/20/2012,,,Yes,,05/14/2014,,,,Approved,Sovereign,,,,,
2744,Asian Development Bank,"NDF,SCF-PPCR",2013,2013,0357/0358,0357/0358,44214-024,,,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,SARD,SAER,09/23/2013,,,,,0.00,,,,,,,,,,,3000.0,Agriculture and Natural Resources,"3012, 3013","Land-Based Natural Resources Management, Water-Based Natural Resources Management",,,Environment Sustainability,,,,,,,,,,,,,
2745,NDF,NDF,2013,2013,0358,0357/0358,44214-024,,,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,SARD,SAER,09/23/2013,,,,,0.00,4.63,,,4.63,DVA,FW,Partial Administration,Multilateral,Grant,,3000.0,Agriculture and Natural Resources,,"Land-Based Natural Resources Management, Water-Based Natural Resources Management",,,,No,,09/23/2013,,,,,Sovereign,,,,Euro3.6 million,
2747,Asian Development Bank,NDF,1992,1992,,1185,,,,PAK,Provincial Highways,CWRD,,11/05/1992,0.00,165.40,0.00,,165.40,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2748,NDF,NDF,1992,1992,,1185,,,,PAK,Provincial Highways,CWRD,,11/05/1992,,,,,0.00,,5.40,,5.40,Non-DVA,,,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,11/05/1992,,,,,Sovereign,,,,"PCR IN 355-02, 27Dec02. PCR sent to NDF on 23May03",
2750,NDF,NDF,1993,1993,,1266,26366,,,LAO,Airports Improvement,SERD,SEID,11/18/1993,,,,,0.00,,6.80,,6.80,Non-DVA,,,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,11/18/1993,,,,,Sovereign,S,,,PCR was sent to NDF on 16Jan03,
2752,Asian Development Bank,"France,Japan,Norway,Thailand,NDF,OFID",1993,1993,,1266/8148,26366,,,LAO,Airports Improvement,SERD,SEID,11/18/1993,0.00,15.00,0.00,,15.00,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
2754,Asian Development Bank,"Germany,Norway,NDF",1994,1994,,1300/2194(L),,,,MON,Telecommunications,EARD,EATC,06/16/1994,0.00,24.01,0.00,,24.01,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,S,,,,
2755,NDF,NDF,1994,1994,,1300/2194(L),,,,MON,Telecommunications,EARD,EATC,06/16/1994,,,,,0.00,,6.74,,6.74,Non-DVA,,,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,06/16/1994,,,,,Sovereign,S,,,,
2757,Asian Development Bank,"Norway,NDF",1994,1994,,1329,,,,LAO,Theun-Hinboun Hydropower,SERD,,11/08/1994,0.00,60.00,0.00,,60.00,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2758,NDF,NDF,1994,1994,,1329,,,,LAO,Theun-Hinboun Hydropower,SERD,,11/08/1994,,,,,0.00,,7.25,,7.25,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,11/08/1994,,,,,Sovereign,,,,"PCR, 14Dec00",
2760,Asian Development Bank,"Denmark,NDF",1994,1994,,1334,,,,MON,Power Rehabilitation,EARD,,11/24/1994,0.00,37.46,0.00,,37.46,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2761,NDF,NDF,1994,1994,,1334,,,,MON,Power Rehabilitation,EARD,,11/24/1994,,,,,0.00,,5.45,,5.45,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,11/24/1994,,,,,Sovereign,,,,PCR was sent to NDF on 16Jan03. Adj Dec07 from $5.3 to $5.45. ref PCR,
2763,Asian Development Bank,"Norway,NDF,World Bank",1996,1996,,1430,,,,NEP,Himal Power,PSOD,PSOD,01/23/1996,36.50,0.00,0.00,,36.50,,,,,,,,,,OCR,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2764,NDF,NDF,1996,1996,,1430,,,,NEP,Himal Power,PSOD,PSOD,01/23/1996,,,,,0.00,,3.00,,3.00,Non-DVA,,,Multilateral,Loan,OCR,3200.0,Energy,,,,,,,,01/23/1996,,,,,Non-Sovereign,,,,,
2766,Asian Development Bank,"Denmark,Switzerland,NDF,World Bank",1996,1996,,1443,,,,KGZ,Power & District Heating Rehab.,CWRD,,06/06/1996,0.00,27.50,0.00,,27.50,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2767,NDF,NDF,1996,1996,,1443,,,,KGZ,Power & District Heating Rehab.,CWRD,,11/01/1996,,,,,0.00,,5.20,,5.20,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,11/01/1996,,,,,Sovereign,,,,PCR was sent to NDF on 22Sep04.  Adj Dec05 from $6.8 to 5.2,
2769,Asian Development Bank,"Japan,NDF",1996,1996,,1478,,,,BAN,Jamuna Bridge Access Roads,SARD,SAID,11/05/1996,0.00,60.61,0.00,,60.61,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2770,NDF,NDF,1996,1996,,1478,,,,BAN,Jamuna Bridge Access Roads,SARD,SAID,08/13/1996,,,,,0.00,,2.14,,2.14,Non-DVA,,,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,08/13/1996,,,,,Sovereign,,,,"PCR IN 168-04, 4Aug04 was sent to NDF on 8Aug05. Adj from $2 to $2.14.",
2772,Asian Development Bank,NDF,1997,1997,,1532,,,,MLD,Third Power Systems Development,SARD,SAEN,09/01/1997,0.00,6.48,0.00,,6.48,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2773,NDF,NDF,1997,1997,,1532,,,,MLD,Third Power Systems Development,SARD,SAEN,09/01/1997,,,,,0.00,,5.10,,5.10,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,09/01/1997,,,,,Sovereign,,,,"PCR IN. 106-05, 19May05.  PCR sent to NDF - 2Jun05.  Adj Dec05 from $5.6 to $5.1 and addl cf from Danida",
2775,Asian Development Bank,"NDF,UNFPA",1997,1997,,1538,,,,BAN,Urban Primary Health Care,SARD,SASS,09/16/1997,0.00,40.00,0.00,,40.00,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
2776,NDF,NDF,1997,1997,,1538,,,,BAN,Urban Primary Health Care,SARD,SASS,09/16/1997,,,,,0.00,,1.64,,1.64,Non-DVA,,,Multilateral,Loan,ADF,3400.0,Health and Social Protection,,,,,,,,09/16/1997,,,,,Sovereign,,,,,
2778,NDF,NDF,1997,1997,,1558,,,,,Power Transmission and Distribution,SERD,,09/30/1997,,,,,0.00,,6.86,,6.86,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,09/30/1997,,,,,Sovereign,,,,$1.41 added to 5.9,
2780,Asian Development Bank,"France,Norway,NDF,NDF",1997,1997,,1558,,,,LAO,Power Transmission and Distribution,SERD,,09/30/1997,0.00,28.73,0.00,,28.73,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2782,Asian Development Bank,"France,Japan,NDF",1998,1998,,1655,,,,VIE,Vocational and Technical Education,SERD,,11/11/1998,0.00,32.57,0.00,,32.57,,,,,,,,,,ADF,3100.0,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
2783,NDF,NDF,1998,1998,,1655,,,,VIE,Vocational and Technical Education,SERD,,12/11/1998,,,,,0.00,,6.35,,6.35,Non-DVA,,,Multilateral,Loan,ADF,3100.0,Education,,,,,,,,12/11/1998,,,,,Sovereign,,,,PCR Dec08 sent 19May09. Adj Dec09 from $6 to $6.35,
2785,NDF,NDF,1999,1999,,1707,,,,SRI,Skills Development,SARD,SASS,10/28/1999,,,,,0.00,,6.71,,6.71,Non-DVA,,,Multilateral,Loan,ADF,3100.0,Education,,,,,,,,10/28/1999,,,,,Sovereign,Succesful,,,Adj from $7 to $6.71.  PCR was sent 22May08.,
2787,Asian Development Bank,"NDF,OFID",1999,1999,,1707/8183,31283,,,SRI,Skills Development,SARD,SASS,10/28/1999,0.00,18.80,0.00,,18.80,,,,,,,,,,ADF,3100.0,Education,,,,,,,,,,,,,,Succesful,,,,
2789,NDF,NDF,1999,1999,,1708,,,,BAN,Southwest Road Network Development,SARD,,09/08/1999,,,,,0.00,,3.89,,3.89,Non-DVA,,,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,09/08/1999,,,,,Sovereign,Succesful,Successful,,,
2791,Asian Development Bank,"OFID,NDF",1999,1999,,1708/8187,30022,,,BAN,Southwest Road Network Development,SARD,,11/16/1999,0.00,89.00,0.00,,89.00,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,Succesful,Successful,,,
2793,Asian Development Bank,"Japan,Sweden,NDF",1999,1999,,1711,26522,,,SRI,Southern Transport Dev,SARD,SAID,11/25/1999,0.00,90.00,0.00,,90.00,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2794,NDF,NDF,1999,1999,,1711,26522-01,,,SRI,Southern Transport Dev,SARD,SAID,09/08/1999,,,,,0.00,,6.70,,6.70,Non-DVA,,,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,09/08/1999,,,,,Sovereign,,,,Road safety consultancies and equipment. Approved on 8 Sep 99.,
2796,NDF,NDF,2000,2000,,1750,,,,PHI,Technical Education and Skills Development,SERD,,08/24/2000,,,,,0.00,,8.00,,8.00,Non-DVA,,,Multilateral,Loan,OCR,3100.0,Education,,,,,,,,08/24/2000,,,,,Sovereign,Succesful,,,To be adj in Dec2010 from $8 to $7.85.,
2798,Asian Development Bank,"NDF,OFID",2000,2000,,1750/8192,23229,,,PHI,Technical Education and Skills Development,SERD,,08/24/2000,25.00,0.00,0.00,,25.00,,,,,,,,,,OCR,3100.0,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,Succesful,,,,
2800,Asian Development Bank,NDF,2000,2000,,1756,,,,SRI,Secondary Education Modernization,SARD,SASS,09/12/2000,0.00,54.70,0.00,,54.70,,,,,,,,,,ADF,3100.0,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
2801,NDF,NDF,2000,2000,,1756,,,,SRI,Secondary Education Modernization,SARD,SASS,09/28/2000,,,,,0.00,,6.45,,6.45,Non-DVA,,,Multilateral,Loan,ADF,3100.0,Education,,,,,,,,09/28/2000,,,,,Sovereign,,,,"PCR was sent 18Dec09. Adj Dec09 NDF from $7 to $6.45, Govt 19 to 9.04, ADB 50 to $54.7. File sent to OAS Aug10.",
2803,Asian Development Bank,"Japan,OFID,NDF",2000,2000,,1820/8191,31624,,,NEP,Melamchi Water Supply,SARD,SASS,12/21/2000,0.00,137.00,0.00,,137.00,,,,,,,,,,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
2805,NDF,NDF,2000,2000,8235,1820/8235,31624,,,NEP,Melamchi Water Supply,SARD,SASS,12/21/2000,,,,,0.00,,10.50,,10.50,DVA,PS,Full Administration,Multilateral,Loan,ADF,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/21/2000,11/28/2001,,,,Sovereign,,,,NDF Credit No. 265.  NDF approval 17 January 2001. Adj Dec08 -non DVA to DVA ref major change paper 7Feb08.,
2807,Asian Development Bank,NDF,2001,2001,,1836,,,,MON,Social Security Sector Development Program (Investment Loan),EARD,EAGF,08/28/2001,0.00,4.00,0.00,,4.00,,,,,,,,,,ADF,3400.0,Health and Social Protection,,,,,,,,,,,,,,,,,,
2808,NDF,NDF,2001,2001,,1836,,,,MON,Social Security Sector Development Program (Investment Loan),EARD,EAGF,08/28/2001,,,,,0.00,,4.00,,4.00,Non-DVA,,,Multilateral,Loan,ADF,3400.0,Health and Social Protection,,,,,,,,08/28/2001,,,,,Sovereign,,,,"R119-01, 7Aug01",
2810,Asian Development Bank,NDF,2001,2001,,1843,,,,PHI,Mindanao Basic Urban Services Sector,SERD,SESS,09/27/2001,30.00,0.00,0.00,,30.00,,,,,,,,,,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,,,,,,,,,,,
2811,NDF,NDF,2001,2001,,1843,,,,PHI,Mindanao Basic Urban Services Sector,SERD,SESS,09/27/2001,,,,,0.00,,6.00,,6.00,Non-DVA,,,Multilateral,Loan,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,09/27/2001,,,,,Sovereign,,,,PCR Nov2010.,
2813,Asian Development Bank,"Germany,NDF",2001,2001,,1884/1885,,,,BAN,West Zone Power System Development,SARD,,12/17/2001,138.70,60.20,0.00,,198.90,,,,,,,,,,ADF,3200.0,Energy,,,,,,,,,,,,,,,,,,
2814,NDF,NDF,2001,2001,,1884/1885,,,,BAN,West Zone Power System Development,SARD,,12/17/2001,,,,,0.00,,10.00,,10.00,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/17/2001,,,,,Sovereign,,,,,
2816,Asian Development Bank,"Japan,NDF",2002,2002,,1908,,,,MON,Second Education Development,EARD,EASS,08/06/2002,0.00,14.00,0.00,,14.00,,,,,,,,,,ADF,3100.0,Education,,,,,Inclusive Social and Gender Development,,,,,,,,,,,,,
2817,NDF,NDF,2002,2002,,1908,,,,MON,Second Education Development,EARD,EASS,08/06/2002,,,,,0.00,,4.80,,4.80,Non-DVA,,,Multilateral,Loan,ADF,3100.0,Education,,,,,,,,08/06/2002,,,,,Sovereign,,,,Consultancy & teaching equipment for tech. schools w/in the vocational & tech. education component.  € 5.5 million. PCR 11Dec09.,
2819,Asian Development Bank,NDF,2002,2002,,1942/1943,,,,BAN,Dhaka Clean Fuel,SARD,SAID,11/26/2002,30.20,42.40,0.00,,72.60,,,,,,,,,,ADF,3200.0,Energy,,,,,,,,,,,,,,,,,,
2820,NDF,NDF,2002,2002,,1942/1943,,,,BAN,Dhaka Clean Fuel,SARD,SAID,11/26/2002,,,,,0.00,,9.30,,9.30,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,11/26/2002,,,,,Sovereign,,,,"R242-02, 5Nov02.  Euro 10m.  Final approval 19Sep02.",
2822,Asian Development Bank,NDF,2003,2003,,2005,31341,,,LAO,Northern Area Rural Power Distribution,SERD,SEID,09/18/2003,0.00,30.00,0.00,,30.00,,,,,,,,,,ADF,3200.0,Energy,,,,,,,,,,,,,,,,,,
2823,NDF,NDF,2003,2003,,2005,31341,,,LAO,Northern Area Rural Power Distribution,SERD,SEID,09/18/2003,,,,,0.00,,13.04,,13.04,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,09/18/2003,,,,,Sovereign,,,,,
2825,Asian Development Bank,NDF,2003,2003,,2039,36205-02,,,BAN,Power Sector Development Program (Project Loan),SARD,SAEN,12/10/2003,186.00,0.00,0.00,,186.00,,,,,,,,,,OCR,3200.0,Energy,,,,,,,,,,,,,,,,,,
2826,NDF,NDF,2003,2003,,2039,36205-02,,,BAN,Power Sector Development Program (Project Loan),SARD,SAEN,12/10/2003,,,,,0.00,,9.60,,9.60,Non-DVA,,,Multilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/10/2003,,,,,Sovereign,,,,Eight 33 kV substation for Euro 8.3 m.,
2828,Asian Development Bank,"NDF,World Bank",2003,2003,,2052,34390,,,CAM,Greater Mekong Subregion Transmission,SERD,SEID,12/15/2003,0.00,44.30,0.00,,44.30,,,,,,,,,,ADF,3200.0,Energy,,,,,,,,,,,,,,,,,,
2829,NDF,NDF,2003,2003,,2052,34390,,,CAM,Greater Mekong Subregion Transmission,SERD,SEID,12/15/2003,,,,,0.00,,11.00,,11.00,Non-DVA,,,Multilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/15/2003,,,,,Sovereign,,,,,
2831,Asian Development Bank,"NDF,OFID",2004,2004,,2085/8217,30271,,,LAO,Roads for Rural Development,SERD,SEID,06/28/2004,0.00,17.70,0.00,,17.70,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,,
2832,NDF,NDF,2004,2004,,2085/8217,30271,,,LAO,Roads for Rural Development,SERD,SEID,06/28/2004,,,,,0.00,,7.30,,7.30,Non-DVA,,,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,06/28/2004,,,,,Sovereign,,,,Road Safety and Supervisory components.,
2834,Asian Development Bank,NDF,2005,2005,,2195,34356,,,VIE,Central Region Transport Networks Improvement Sector,SERD,SEID,11/11/2005,0.00,95.00,0.00,,95.00,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2835,NDF,NDF,2005,2005,,2195,34356,,,VIE,Central Region Transport Networks Improvement Sector,SERD,SEID,11/11/2005,,,,,0.00,,13.92,,13.92,Non-DVA,,,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,11/11/2005,,,,,Sovereign,,,,Euro 8.3 m ($11m) - consulting services and Inst dev. NDF app 9Jun05 (NDF442). Addl Euro 3.3 total cf Euro 11.6 = $13.92,
2837,Asian Development Bank,"Korea,NDF",2010,2010,,2670,42334,,,CAM,Rural Roads Improvement,SERD,SETU,09/23/2010,0.00,35.00,0.00,,35.00,,,,,,,,,,ADF,3700.0,Transport and ICT,,,,,,,,,,,,,,,,,,DR 2011. para on grant cof pp 13.
2838,NDF,NDF,2010,2010,2670 (CG),2670,42334,,,CAM,Rural Roads Improvement,SERD,SETU,09/23/2010,,,,,0.00,5.40,,,5.40,DVA,Others,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,09/23/2010,01/06/2011,,,,Sovereign,,,,Collaborative grant,DR 2011. para on grant cof pp 13.
2840,Asian Development Bank,NDF,2011,2011,,2789,41433-013,,,VIE,Transport Connections in Northern Mountainous Provinces,SERD,SETC,09/30/2011,,80.00,,,80.00,,,,,,,,,,ADF,3700.0,Transport and ICT,3701,Road Transport,,,Sustainable Economic Growth,,,,,,,,,,,,,DR 2011. para on grant cof pp 13.
2841,NDF,NDF,2011,2011,2789 (CG),2789,41433-013,,,VIE,Transport Connections in Northern Mountainous Provinces,SERD,SETC,09/30/2011,,,,,0.00,2.78,,,2.78,DVA,,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,Road Transport,,,,,,09/30/2011,04/16/2012,,,,Sovereign,,,,Euro 2 million,DR 2011. para on grant cof pp 13.
2843,Asian Development Bank,"Australia,Korea,NDF",2014,2014,,3151/401/402/466/467/8299/8300,42334-014,,,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,,54.00,,,54.00,,,,,,,,,,,3700.0,Transport,3701,Road Transport (Non-Urban),,,,,,,,,,,,,,,,
2844,NDF,NDF,2014,2014,0401,3151/401/402/466/467/8299/8300,42334-014,,,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,,,,,0.00,5.40,,,5.40,DVA,FW,Full Administration,Multilateral,Grant,,3700.0,Transport,3701,Road Transport (Non-Urban),03/06/2014,,,No,,08/08/2014,,,,,Sovereign,,,,Euro $4 million,
2847,Asian Development Bank,"EIB,Neighbourhood Investment Facility",2013,2013,,2993,42145-043,,,ARM,North-South Road Corridor Investment Program—Tranche 3,CWRD,CWTC,09/27/2013,100.00,,,,100.00,,,,,,,,,,,3700.0,Transport,3701,Road Transport (Non-Urban),,,Regional Cooperation,,,,,,,,,,,,"memo on collaborative cofinancing approved by Director, CWTC",
2848,Neighbourhood Investment Facility,Neighbourhood Investment Facility,2013,2013,2993 (CG),2993,42145-043,,,ARM,North-South Road Corridor Investment Program—Tranche 3,CWRD,CWTC,09/27/2013,,,,,0.00,7.90,,,7.90,DVA,Others,Collaborative,Multilateral,Grant,,3700.0,Transport,,,,,,Yes,,09/27/2013,,,,,Sovereign,,,,Managed by EBRD,
2851,Asian Development Bank,Netherlands,2005,2005,,0002,,,,INO,Earthquake and Tsunami Emergency Support,SERD,SEAE,04/07/2005,0.00,0.00,0.00,291.00,291.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,Succesful,,,no project number,
2852,Netherlands,Netherlands,2005,2005,0002,0002,,,,INO,Earthquake and Tsunami Emergency Support,SERD,SEAE,04/07/2005,,,,,0.00,3.50,,,3.50,DVA,PS,Full Administration,Bilateral,Grant,ADF,3900.0,Multisector,3900,,,,,,,04/07/2005,09/18/1968,,01/15/1971,,Sovereign,Succesful,,,Asian Tsunami Fund Grant #0002.,
2854,Asian Development Bank,Netherlands,2010,2010,,0228,,,,BHU,Rural Renewable Energy Development,SARD,,10/29/2010,0.00,0.00,21.59,,21.59,,,,,,,,,,ADF Grant,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,no project number,
2855,SNV Netherlands Development Organisation,Netherlands,2010,2010,0228 (CG),0228,,,,BHU,Rural Renewable Energy Development,SARD,,10/29/2010,,,,,0.00,0.27,,,0.27,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3200.0,Energy,,,,,,,,10/29/2010,01/14/1976,,05/01/1979,,Sovereign,,,,,
2857,Asian Development Bank,Netherlands,2010,2010,,0233,,,,NEP,Raising Incomes of Small and Medium Farmers,SARD,,11/24/2010,0.00,0.00,20.10,,20.10,,,,,,,,,,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,,,,,,,,,,,,,,
2858,SNV Netherlands Development Organisation,Netherlands,2010,2010,,0233,,,,NEP,Raising Incomes of Small and Medium Farmers,SARD,,11/24/2010,,,,,0.00,0.49,,,0.49,Non-DVA,,,Bilateral,Grant,ADF Grant,3000.0,Agriculture and Natural Resources,,,,,,,,11/24/2010,,,,,Sovereign,,,,,
2860,Asian Development Bank,"Netherlands,Norway,U.K.,World Bank",1984,1984,,0712,,,,SRI,Plantation Sector,SARD,SAAE,12/04/1984,0.00,45.00,0.00,,45.00,,,,,,,,,,ADF,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2861,Netherlands,Netherlands,1984,1984,,0712,,,,SRI,Plantation Sector,SARD,SAAE,11/01/1984,,,,,0.00,,8.30,,8.30,Non-DVA,,,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,11/01/1984,,,,,Sovereign,,,,,
2863,Asian Development Bank,Netherlands,1984,1984,,0714,,,,BAN,Second Natural Gas Development,SARD,,12/06/1984,0.00,103.80,0.00,,103.80,,,,,,,,,,ADF,3200.0,Energy,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2864,Netherlands,Netherlands,1984,1984,,0714,,,,BAN,Second Natural Gas Development,SARD,,12/06/1984,,,,,0.00,,7.80,,7.80,Non-DVA,,,Bilateral,Loan,ADF,3200.0,Energy,,,,,,,,12/06/1984,,,,,Sovereign,,,,,
2866,Asian Development Bank,Netherlands,1985,1985,,0768,,,,INO,Second Bandung Urban Development,SERD,,12/12/1985,132.40,0.00,0.00,,132.40,,,,,,,,,,OCR,3900.0,Multisector,3900,Multisector,,,Sustainable Economic Growth,,,,,,,,,,,,,
2867,Netherlands,Netherlands,1985,1985,,0768,,,,INO,Second Bandung Urban Development,SERD,,12/12/1985,,,,,0.00,,6.01,,6.01,Non-DVA,,,Bilateral,Loan,OCR,3900.0,Multisector,3900,,,,,,,12/12/1985,,,,,Sovereign,,,,,
2869,Asian Development Bank,Netherlands,1987,1987,,0860/0861,,,,INO,Third Irrigation Sector,SERD,,11/17/1987,120.00,0.00,0.00,,120.00,,,,,,,,,,OCR,3000.0,Agriculture and Natural Resources,,,,,Sustainable Economic Growth,,,,,,,,,,,,,
2870,Netherlands,Netherlands,1987,1987,,0860/0861,,,,INO,Third Irrigation Sector,SERD,,11/17/1987,,,,,0.00,,7.50,,7.50,Non-DVA,,,Bilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,11/17/1987,,,,,Sovereign,,,,,
2872,Netherlands,Netherlands,1992,1992,1842(L),1137/1633(L)/1842(L),24250,,,,Second NGO Microcredit (Supplementary),SERD,,05/29/1992,,,,,0.00,1.80,,,1.80,DVA,PS,Full Administration,Bilateral,Grant,ADF,3300.0,Finance,,,,,,Yes,,05/29/1992,,,,,Sovereign,GS,,,,
2874,Asian Development Bank,"Netherlands,Norway",1991,1991,,1137/1633(L)/1842(L),24250,,,PHI,Second NGO Microcredit,SERD,,11/28/1991,0.00,30.00,0.00,,30.00,,,,,,,,,,ADF,3300.0,Finance,,,,,,,,,,,,,,GS,,,,
2876,Asian Development Bank,"Netherlands,Norway",1992,1992,,1137/1633(L)/1842(L),24250,,,PHI,Second NGO Microcredit (Supplementary),SERD,,05/29/1992,0.00,0.00,0.00,,0.00,,,,,,,,,,ADF,3300.0,Finance,,,,,,,,,,,,,,GS,,,,
2878,Asian Development Bank,"Netherlands,World Bank",1994,1994,,1301,,,,PAK,Social Action Program (Sector),CWRD,,06/23/1994,0.00,100.00,0.00,,100.00,,,,,,,,,,ADF,3900.0,Multisector,3900,Multisector,,,,,,,,,,,,,,,,
